
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00710";="0.00155";="-0.00145";="-0.000102";="-0.00705";="0.00154";="-0.00144";="-0.000101";="-0.00709";="0.00155";="-0.00145";="-0.000101";="-0.00711";="0.00154";="-0.00144";="-0.000101"
="";="(-1.39)";="(1.37)";="(-1.39)";="(-1.06)";="(-1.39)";="(1.38)";="(-1.39)";="(-1.06)";="(-1.40)";="(1.39)";="(-1.40)";="(-1.07)";="(-1.39)";="(1.38)";="(-1.39)";="(-1.06)"
="NGDP_RPCH";="0.00187";="-0.000409";="0.000382";="0.0000268";="0.00180";="-0.000394";="0.000368";="0.0000258";="0.00182";="-0.000397";="0.000371";="0.0000260";="0.00165";="-0.000359";="0.000335";="0.0000236"
="";="(0.12)";="(-0.12)";="(0.12)";="(0.12)";="(0.12)";="(-0.12)";="(0.12)";="(0.12)";="(0.12)";="(-0.12)";="(0.12)";="(0.12)";="(0.11)";="(-0.11)";="(0.11)";="(0.11)"
="ExtDebtPercGNI_Var";="-0.000701";="0.000153";="-0.000143";="-0.0000100";="-0.000690";="0.000151";="-0.000141";="-0.00000987";="-0.000689";="0.000150";="-0.000140";="-0.00000983";="-0.000659";="0.000143";="-0.000133";="-0.00000938"
="";="(-0.25)";="(0.25)";="(-0.25)";="(-0.25)";="(-0.25)";="(0.25)";="(-0.25)";="(-0.24)";="(-0.25)";="(0.25)";="(-0.25)";="(-0.24)";="(-0.24)";="(0.24)";="(-0.24)";="(-0.24)"
="GGXWDG_NGDP_Var";="0.00160";="-0.000350";="0.000327";="0.0000230";="0.00162";="-0.000354";="0.000331";="0.0000232";="0.00162";="-0.000354";="0.000331";="0.0000232";="0.00165";="-0.000358";="0.000335";="0.0000235"
="";="(0.76)";="(-0.75)";="(0.75)";="(0.69)";="(0.77)";="(-0.76)";="(0.76)";="(0.70)";="(0.77)";="(-0.76)";="(0.76)";="(0.70)";="(0.78)";="(-0.77)";="(0.77)";="(0.71)"
