
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00735";="0.00160";="-0.00150";="-0.000102";="-0.00730";="0.00159";="-0.00149";="-0.000101";="-0.00735";="0.00160";="-0.00150";="-0.000102";="-0.00738";="0.00160";="-0.00150";="-0.000102"
="";="(-1.42)";="(1.41)";="(-1.42)";="(-1.07)";="(-1.42)";="(1.41)";="(-1.42)";="(-1.07)";="(-1.44)";="(1.42)";="(-1.43)";="(-1.08)";="(-1.43)";="(1.42)";="(-1.43)";="(-1.07)"
="NGDP_RPCH";="-0.00278";="0.000607";="-0.000568";="-0.0000386";="-0.00287";="0.000626";="-0.000586";="-0.0000398";="-0.00285";="0.000620";="-0.000581";="-0.0000394";="-0.00305";="0.000661";="-0.000619";="-0.0000421"
="";="(-0.27)";="(0.27)";="(-0.27)";="(-0.27)";="(-0.28)";="(0.28)";="(-0.28)";="(-0.28)";="(-0.27)";="(0.27)";="(-0.27)";="(-0.28)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.30)"
="ExtDebtPercGNI_Var";="-0.000760";="0.000166";="-0.000155";="-0.0000105";="-0.000752";="0.000164";="-0.000153";="-0.0000104";="-0.000752";="0.000164";="-0.000153";="-0.0000104";="-0.000721";="0.000156";="-0.000146";="-0.00000994"
="";="(-0.27)";="(0.27)";="(-0.27)";="(-0.27)";="(-0.27)";="(0.27)";="(-0.27)";="(-0.26)";="(-0.27)";="(0.27)";="(-0.27)";="(-0.26)";="(-0.26)";="(0.26)";="(-0.26)";="(-0.26)"
="GGXWDN_NGDP_Var";="0.0000200**";="-0.00000437**";="0.00000409**";="0.000000278";="0.0000201**";="-0.00000437*";="0.00000409**";="0.000000278";="0.0000200**";="-0.00000437*";="0.00000409**";="0.000000277";="0.0000195**";="-0.00000422**";="0.00000395**";="0.000000269"
="";="(2.17)";="(-1.97)";="(1.99)";="(1.24)";="(2.15)";="(-1.95)";="(1.98)";="(1.22)";="(2.13)";="(-1.94)";="(1.96)";="(1.23)";="(2.24)";="(-2.02)";="(2.04)";="(1.27)"
="PCPIPCH";="-0.000435";="0.0000948";="-0.0000887";="-0.00000603";="-0.000435";="0.0000947";="-0.0000887";="-0.00000602";="-0.000435";="0.0000948";="-0.0000888";="-0.00000602";="-0.000451";="0.0000976";="-0.0000914";="-0.00000622"
="";="(-1.11)";="(1.10)";="(-1.10)";="(-0.95)";="(-1.11)";="(1.10)";="(-1.10)";="(-0.95)";="(-1.11)";="(1.10)";="(-1.10)";="(-0.95)";="(-1.14)";="(1.14)";="(-1.14)";="(-0.98)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
