
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00195";="0.000613";="-0.000473";="-0.000140";="-0.00167";="0.000519";="-0.000401";="-0.000119";="-0.00197";="0.000611";="-0.000471";="-0.000140";="-0.00224";="0.000707";="-0.000545";="-0.000162"
="";="(-0.38)";="(0.38)";="(-0.38)";="(-0.38)";="(-0.32)";="(0.32)";="(-0.32)";="(-0.32)";="(-0.39)";="(0.39)";="(-0.39)";="(-0.39)";="(-0.44)";="(0.45)";="(-0.45)";="(-0.44)"
="NGDP_RPCH";="-0.00542";="0.00171";="-0.00132";="-0.000390";="-0.00767";="0.00239";="-0.00184";="-0.000546";="-0.00988";="0.00307";="-0.00237";="-0.000705";="-0.00556";="0.00175";="-0.00135";="-0.000401"
="";="(-0.23)";="(0.23)";="(-0.23)";="(-0.23)";="(-0.33)";="(0.33)";="(-0.33)";="(-0.32)";="(-0.42)";="(0.42)";="(-0.42)";="(-0.40)";="(-0.24)";="(0.24)";="(-0.24)";="(-0.24)"
="ExtDebtPercGNI_Var";="-0.00274";="0.000864";="-0.000667";="-0.000198";="-0.00249";="0.000776";="-0.000599";="-0.000177";="-0.00289";="0.000898";="-0.000692";="-0.000206";="-0.00293";="0.000926";="-0.000714";="-0.000212"
="";="(-0.95)";="(0.96)";="(-0.97)";="(-0.91)";="(-0.87)";="(0.87)";="(-0.88)";="(-0.84)";="(-1.02)";="(1.02)";="(-1.03)";="(-0.96)";="(-1.02)";="(1.03)";="(-1.04)";="(-0.96)"
="BudgetBal_NGDP_Var";="0.00000485";="-0.00000153";="0.00000118";="0.000000350";="0.00000187";="-0.000000584";="0.000000451";="0.000000133";="0.00000334";="-0.00000104";="0.000000800";="0.000000238";="0.00000358";="-0.00000113";="0.000000871";="0.000000258"
="";="(0.69)";="(-0.69)";="(0.69)";="(0.68)";="(0.26)";="(-0.26)";="(0.26)";="(0.26)";="(0.50)";="(-0.49)";="(0.49)";="(0.48)";="(0.52)";="(-0.52)";="(0.52)";="(0.51)"
="PCPIPCH";="-0.00757";="0.00238";="-0.00184";="-0.000545";="-0.00791";="0.00247";="-0.00190";="-0.000563";="-0.00841";="0.00261";="-0.00201";="-0.000599";="-0.00710";="0.00224";="-0.00173";="-0.000512"
="";="(-1.03)";="(1.03)";="(-1.04)";="(-0.97)";="(-1.04)";="(1.05)";="(-1.06)";="(-0.99)";="(-1.06)";="(1.07)";="(-1.08)";="(-1.00)";="(-0.98)";="(0.98)";="(-0.99)";="(-0.93)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.247*";="-0.0811";="0.0613*";="0.0199";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(1.66)";="(-1.61)";="(1.69)";="(1.30)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.336**";="-0.110*";="0.0833**";="0.0270";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(1.96)";="(-1.91)";="(2.05)";="(1.46)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.349";="-0.113";="0.0857";="0.0271";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(1.54)";="(-1.53)";="(1.59)";="(1.28)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.175";="-0.0560";="0.0430";="0.0130"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.54)";="(-0.55)";="(0.55)";="(0.53)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.670***";="";="";="";="0.708***";="";="";="";="0.725***";="";="";="";="0.681***";="";="";=""
="";="(4.17)";="";="";="";="(4.33)";="";="";="";="(4.15)";="";="";="";="(3.05)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.850***";="";="";="";="1.890***";="";="";="";="1.906***";="";="";="";="1.859***";="";="";=""
="";="(9.40)";="";="";="";="(9.74)";="";="";="";="(9.32)";="";="";="";="(7.39)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.901***";="";="";="";="0.891***";="";="";="";="0.881***";="";="";="";="0.905***";="";="";=""
="";="(4.13)";="";="";="";="(4.09)";="";="";="";="(4.05)";="";="";="";="(3.69)";="";="";=""

="Observations";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
