="";="foonetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0015341";="-.0049093";="-.0028084";=".0000958";="-.0075764";="0";=".2396412";="";="";="";="";="";="";=".6705116";="1.853027";=".9107825"
="t";="-.2960011";="-.2093654";="-.9688092";=".929569";="-1.022134";=".";="1.612052";="";="";="";="";="";="";="4.161447";="9.38147";="4.134895"
="p";=".7672292";=".834163";=".3326404";=".3525943";=".3067173";=".";=".1069506";="";="";="";="";="";="";=".0000316";="0";=".0000355"
="netdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000483";=".0015458";=".0008843";="-.0000302";=".0023856";="0";="-.0786014";="";="";="";="";="";="";="";="";=""
="t";=".296229";=".2092999";=".9767368";="-.9181009";="1.027522";=".";="-1.562133";="";="";="";="";="";="";="";="";=""
="p";=".7670552";=".8342141";=".3286995";=".358566";=".3041746";=".";=".1182567";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003729";="-.0011935";="-.0006827";=".0000233";="-.0018419";="0";=".059458";="";="";="";="";="";="";="";="";=""
="t";="-.2961358";="-.2099999";="-.9815717";=".9207546";="-1.03414";=".";="1.639123";="";="";="";="";="";="";="";="";=""
="p";=".7671264";=".8336677";=".3263109";=".3571786";=".3010706";=".";=".1011877";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001101";="-.0003523";="-.0002016";="6.87e-06";="-.0005437";="0";=".0191435";="";="";="";="";="";="";="";="";=""
="t";="-.2954583";="-.206611";="-.925739";=".8793972";="-.9659188";=".";="1.273421";="";="";="";="";="";="";="";="";=""
="p";=".7676438";=".8363137";=".3545816";=".379186";=".3340848";=".";=".2028687";="";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.001286";="-.0073149";="-.0025492";=".0000929";="-.0079468";="";="";="0";=".3326543";="";="";="";="";=".7085574";="1.892947";=".8982727"
="t";="-.2491657";="-.3093954";="-.8835479";=".8915999";="-1.043202";="";="";=".";="1.932258";="";="";="";="";="4.325371";="9.739841";="4.09119"
="p";=".8032326";=".7570208";=".3769403";=".3726074";=".2968545";="";="";=".";=".0533276";="";="";="";="";=".0000152";="0";=".0000429"
="netdebt_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004006";=".0022789";=".0007942";="-.000029";=".0024757";="";="";="0";="-.1089551";="";="";="";="";="";="";=""
="t";=".2492536";=".3094066";=".8889616";="-.8797061";="1.050911";="";="";=".";="-1.884651";="";="";="";="";="";="";=""
="p";=".8031646";=".7570122";=".3740237";=".3790186";=".2932995";="";="";=".";=".059477";="";="";="";="";="";="";=""
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003093";="-.0017595";="-.0006132";=".0000224";="-.0019115";="";="";="0";=".0823358";="";="";="";="";="";="";=""
="t";="-.2491007";="-.3110849";="-.8924777";=".8813735";="-1.058379";="";="";=".";="2.015814";="";="";="";="";="";="";=""
="p";=".8032829";=".7557361";=".3721369";=".3781157";=".2898827";="";="";=".";=".0438194";="";="";="";="";="";="";=""
="netdebt_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000913";="-.0005194";="-.000181";="6.60e-06";="-.0005643";="";="";="0";=".0266193";="";="";="";="";="";="";=""
="t";="-.2491305";="-.3027694";="-.8506126";=".8467451";="-.9846028";="";="";=".";="1.442107";="";="";="";="";="";="";=""
="p";=".8032598";=".7620656";=".3949846";=".3971372";=".3248192";="";="";=".";=".1492722";="";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0015275";="-.0095771";="-.0029471";=".0001043";="-.0084728";="";="";="";="";="0";=".3533553";="";="";=".728606";="1.911768";=".8884422"
="t";="-.2983726";="-.4010456";="-1.028522";="1.083506";="-1.062611";="";="";="";="";=".";="1.568418";="";="";="4.166452";="9.333589";="4.055805"
="p";=".7654188";=".6883865";=".3037044";=".2785838";=".2879584";="";="";="";="";=".";=".1167835";="";="";=".0000309";="0";=".00005"
="netdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004739";=".0029714";=".0009144";="-.0000324";=".0026288";="";="";="";="";="0";="-.1141341";="";="";="";="";=""
="t";=".2984821";=".4012589";="1.034416";="-1.065236";="1.073462";="";="";="";="";=".";="-1.553989";="";="";="";="";=""
="p";=".7653353";=".6882295";=".3009417";=".2867691";=".2830639";="";="";="";="";=".";=".120187";="";="";="";="";=""
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003654";="-.0022912";="-.0007051";=".0000249";="-.0020271";="";="";="";="";="0";=".0867683";="";="";="";="";=""
="t";="-.2982483";="-.4042231";="-1.040937";="1.068454";="-1.081987";="";="";="";="";=".";="1.616244";="";="";="";="";=""
="p";=".7655136";=".6860487";=".2979048";=".2853157";=".2792583";="";="";="";="";=".";=".1060417";="";="";="";="";=""
="netdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001085";="-.0006801";="-.0002093";="7.41e-06";="-.0006017";="";="";="";="";="0";=".0273658";="";="";="";="";=""
="t";="-.2981733";="-.3892887";="-.9729229";="1.008142";="-1.001901";="";="";="";="";=".";="1.291";="";="";="";="";=""
="p";=".7655709";=".6970626";=".3305916";=".3133865";=".3163915";="";="";="";="";=".";=".1967036";="";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018268";="-.0050858";="-.0029903";=".0000965";="-.0071302";="";="";="";="";="";="";="0";=".1707279";=".681343";="1.860863";=".9131646"
="t";="-.3595805";="-.221799";="-1.034156";="1.087218";="-.9778555";="";="";="";="";="";="";=".";=".5275112";="3.046588";="7.386895";="3.688922"
="p";=".7191609";=".8244704";=".3010631";=".2769406";=".3281458";="";="";="";="";="";="";=".";=".5978386";=".0023145";="1.50e-13";=".0002252"
="netdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000576";=".0016036";=".0009429";="-.0000304";=".0022483";="";="";="";="";="";="";="0";="-.0544584";="";="";=""
="t";=".3606067";=".2217924";="1.038957";="-1.06625";=".9836166";="";="";="";="";="";="";=".";="-.5294241";="";="";=""
="p";=".7183935";=".8244755";=".2988249";=".2863108";=".325304";="";="";="";="";="";="";=".";=".5965113";="";="";=""
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004447";="-.001238";="-.0007279";=".0000235";="-.0017356";="";="";="";="";="";="";="0";=".04185";="";="";=""
="t";="-.3605835";="-.2225328";="-1.046408";="1.068715";="-.9890028";="";="";="";="";="";="";=".";=".530973";="";="";=""
="p";=".7184108";=".8238992";=".2953725";=".2851982";=".3226618";="";="";="";="";="";="";=".";=".5954375";="";="";=""
="netdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001313";="-.0003656";="-.000215";="6.94e-06";="-.0005126";="";="";="";="";="";="";="0";=".0126083";="";="";=""
="t";="-.3587468";="-.2189054";="-.9739457";="1.009628";="-.93053";="";="";="";="";="";="";=".";=".5184313";="";="";=""
="p";=".7197845";=".8267238";=".3300835";=".3126737";=".3520967";="";="";="";="";="";="";=".";=".6041574";="";="";=""
=""
