
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00153";="0.000483";="-0.000373";="-0.000110";="-0.00129";="0.000401";="-0.000309";="-0.0000913";="-0.00153";="0.000474";="-0.000365";="-0.000108";="-0.00183";="0.000576";="-0.000445";="-0.000131"
="";="(-0.30)";="(0.30)";="(-0.30)";="(-0.30)";="(-0.25)";="(0.25)";="(-0.25)";="(-0.25)";="(-0.30)";="(0.30)";="(-0.30)";="(-0.30)";="(-0.36)";="(0.36)";="(-0.36)";="(-0.36)"
="NGDP_RPCH";="-0.00491";="0.00155";="-0.00119";="-0.000352";="-0.00731";="0.00228";="-0.00176";="-0.000519";="-0.00958";="0.00297";="-0.00229";="-0.000680";="-0.00509";="0.00160";="-0.00124";="-0.000366"
="";="(-0.21)";="(0.21)";="(-0.21)";="(-0.21)";="(-0.31)";="(0.31)";="(-0.31)";="(-0.30)";="(-0.40)";="(0.40)";="(-0.40)";="(-0.39)";="(-0.22)";="(0.22)";="(-0.22)";="(-0.22)"
="ExtDebtPercGNI_Var";="-0.00281";="0.000884";="-0.000683";="-0.000202";="-0.00255";="0.000794";="-0.000613";="-0.000181";="-0.00295";="0.000914";="-0.000705";="-0.000209";="-0.00299";="0.000943";="-0.000728";="-0.000215"
="";="(-0.97)";="(0.98)";="(-0.98)";="(-0.93)";="(-0.88)";="(0.89)";="(-0.89)";="(-0.85)";="(-1.03)";="(1.03)";="(-1.04)";="(-0.97)";="(-1.03)";="(1.04)";="(-1.05)";="(-0.97)"
="GGXWDN_NGDP_Var";="0.0000958";="-0.0000302";="0.0000233";="0.00000687";="0.0000929";="-0.0000290";="0.0000224";="0.00000660";="0.000104";="-0.0000324";="0.0000249";="0.00000741";="0.0000965";="-0.0000304";="0.0000235";="0.00000694"
="";="(0.93)";="(-0.92)";="(0.92)";="(0.88)";="(0.89)";="(-0.88)";="(0.88)";="(0.85)";="(1.08)";="(-1.07)";="(1.07)";="(1.01)";="(1.09)";="(-1.07)";="(1.07)";="(1.01)"
="PCPIPCH";="-0.00758";="0.00239";="-0.00184";="-0.000544";="-0.00795";="0.00248";="-0.00191";="-0.000564";="-0.00847";="0.00263";="-0.00203";="-0.000602";="-0.00713";="0.00225";="-0.00174";="-0.000513"
="";="(-1.02)";="(1.03)";="(-1.03)";="(-0.97)";="(-1.04)";="(1.05)";="(-1.06)";="(-0.98)";="(-1.06)";="(1.07)";="(-1.08)";="(-1.00)";="(-0.98)";="(0.98)";="(-0.99)";="(-0.93)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.240";="-0.0786";="0.0595";="0.0191";="";="";="";="";="";="";="";="";="";="";="";=""
