="";="foonetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0124861";="-.0250379";="-.0040705";="-5.26e-06";="-.0001163";="0";=".324443";="";="";="";="";="";="";=".8628181";="2.287925";=".8948138"
="t";="-2.588207";="-1.162296";="-1.96653";="-.6054777";="-.2657402";=".";="1.562794";="";="";="";="";="";="";="5.483044";="12.29939";="3.235955"
="p";=".0096477";=".2451153";=".0492374";=".5448616";=".7904393";=".";=".1181011";="";="";="";="";="";="";="4.18e-08";="0";=".0012124"
="netdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0032005";=".0064179";=".0010434";="1.35e-06";=".0000298";="0";="-.0887967";="";="";="";="";="";="";="";="";=""
="t";="2.488985";="1.163515";="1.908308";=".600171";=".266229";=".";="-1.493861";="";="";="";="";="";="";="";="";=""
="p";=".0128108";=".2446205";=".0563514";=".5483923";=".7900628";=".";=".135212";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028495";="-.005714";="-.0009289";="-1.20e-06";="-.0000265";="0";=".0782338";="";="";="";="";="";="";="";="";=""
="t";="-2.530725";="-1.160645";="-1.948302";="-.6007627";="-.2660231";=".";="1.522956";="";="";="";="";="";="";="";="";=""
="p";=".0113827";=".2457861";=".0513789";=".547998";=".7902214";=".";=".1277696";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000351";="-.0007039";="-.0001144";="-1.48e-07";="-3.27e-06";="0";=".010563";="";="";="";="";="";="";="";="";=""
="t";="-1.768667";="-1.101377";="-1.442524";="-.5768666";="-.266816";=".";="1.20255";="";="";="";="";="";="";="";="";=""
="p";=".0769495";=".2707328";=".1491545";=".5640295";=".7896108";=".";=".2291506";="";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0126121";="-.0251524";="-.004028";="-5.36e-06";="-.0000977";="";="";="0";=".2776901";="";="";="";="";=".8563817";="2.278996";=".8894328"
="t";="-2.600909";="-1.170566";="-1.947217";="-.6166542";="-.2227535";="";="";=".";="1.448622";="";="";="";="";="5.449105";="12.36144";="3.234521"
="p";=".0092977";=".2417733";=".0515087";=".5374628";=".8237274";="";="";=".";=".1474431";="";="";="";="";="5.06e-08";="0";=".0012185"
="netdebt_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0032431";=".0064676";=".0010358";="1.38e-06";=".0000251";="";="";="0";="-.0749038";="";="";="";="";="";="";=""
="t";="2.503526";="1.172955";="1.894951";=".6100055";=".2230701";="";="";=".";="-1.403161";="";="";="";="";="";="";=""
="p";=".0122963";=".2408139";=".0580988";=".5418582";=".8234809";="";="";=".";=".1605689";="";="";="";="";="";="";=""
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028875";="-.0057585";="-.0009222";="-1.23e-06";="-.0000224";="";="";="0";=".066188";="";="";="";="";="";="";=""
="t";="-2.545883";="-1.170449";="-1.934737";="-.6094053";="-.2229221";="";="";=".";="1.426448";="";="";="";="";="";="";=""
="p";=".0109002";=".2418204";=".0530226";=".5422558";=".8235961";="";="";=".";=".153739";="";="";="";="";="";="";=""
="netdebt_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003556";="-.0007092";="-.0001136";="-1.51e-07";="-2.75e-06";="";="";="0";=".0087158";="";="";="";="";="";="";=""
="t";="-1.772633";="-1.106014";="-1.433723";="-.5828854";="-.2235571";="";="";=".";="1.154354";="";="";="";="";="";="";=""
="p";=".0762896";=".2687203";=".1516513";=".5599705";=".8231019";="";="";=".";=".2483551";="";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0126145";="-.0278838";="-.0040428";="-4.56e-06";="-.000085";="";="";="";="";="0";=".427918";="";="";=".9350929";="2.362584";=".8762937"
="t";="-2.576173";="-1.274299";="-1.903471";="-.5464843";="-.1913611";="";="";="";="";=".";="2.65547";="";="";="6.033626";="12.45005";="3.25078"
="p";=".0099901";=".2025575";=".0569791";=".584733";=".8482427";="";="";="";="";=".";=".0079198";="";="";="1.60e-09";="0";=".0011509"
="netdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0031982";=".0070695";=".001025";="1.16e-06";=".0000216";="";="";="";="";="0";="-.1139816";="";="";="";="";=""
="t";="2.482211";="1.279782";="1.857047";=".542928";=".1916225";="";="";="";="";=".";="-2.592261";="";="";="";="";=""
="p";=".013057";=".2006218";=".0633045";=".5871794";=".848038";="";="";="";="";=".";=".0095347";="";="";="";="";=""
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028386";="-.0062747";="-.0009098";="-1.03e-06";="-.0000191";="";="";="";="";="0";=".1007784";="";="";="";="";=""
="t";="-2.525856";="-1.276152";="-1.895182";="-.5428247";="-.1915174";="";="";="";="";=".";="2.623611";="";="";="";="";=""
="p";=".0115417";=".2019018";=".0580683";=".5872505";=".8481203";="";="";="";="";=".";=".0087003";="";="";="";="";=""
="netdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003595";="-.0007948";="-.0001152";="-1.30e-07";="-2.42e-06";="";="";="";="";="0";=".0132032";="";="";="";="";=""
="t";="-1.773754";="-1.199742";="-1.424475";="-.527441";="-.1920181";="";="";="";="";=".";="1.867442";="";="";="";="";=""
="p";=".0761039";=".2302395";=".1543092";=".5978874";=".847728";="";="";="";="";=".";=".0618398";="";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0130429";="-.023599";="-.0043835";="-5.09e-06";="-.000076";="";="";="";="";="";="";="0";=".1770603";=".850279";="2.26912";=".9088993"
="t";="-2.678513";="-1.078439";="-2.105876";="-.5907353";="-.1728344";="";="";="";="";="";="";=".";=".9721896";="5.21896";="11.62792";="3.237708"
="p";=".007395";=".2808381";=".0352151";=".5546978";=".8627816";="";="";="";="";="";="";=".";=".3309562";="1.80e-07";="0";=".0012049"
="netdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".00337";=".0060974";=".0011326";="1.31e-06";=".0000196";="";="";="";="";="";="";="0";="-.0461139";="";="";=""
="t";="2.582323";="1.084496";="2.051776";=".5887298";=".1730078";="";="";="";="";="";="";=".";="-.9805691";="";="";=""
="p";=".0098138";=".2781449";=".0401915";=".5560425";=".8626453";="";="";="";="";="";="";=".";=".3268053";="";="";=""
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0030015";="-.0054307";="-.0010087";="-1.17e-06";="-.0000175";="";="";="";="";="";="";="0";=".0410285";="";="";=""
="t";="-2.63565";="-1.082604";="-2.105002";="-.5913925";="-.1729211";="";="";="";="";="";="";=".";=".9821541";="";="";=""
="p";=".0083976";=".2789843";=".0352911";=".5542575";=".8627135";="";="";="";="";="";="";=".";=".3260239";="";="";=""
="netdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003685";="-.0006667";="-.0001238";="-1.44e-07";="-2.15e-06";="";="";="";="";="";="";="0";=".0050853";="";="";=""
="t";="-1.781445";="-1.0302";="-1.490089";="-.5705655";="-.1733648";="";="";="";="";="";="";=".";=".9194612";="";="";=""
="p";=".0748397";=".3029159";=".1362009";=".5682942";=".8623647";="";="";="";="";="";="";=".";=".3578544";="";="";=""
=""
