="";="foostructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0117091";=".0173131";="-.0005713";="-.0392142";="-.0000832";="0";="-.0768411";="";="";="";="";="";="";=".6340921";="1.881279";="1.013847"
="t";="-1.833424";=".8313605";="-.1511586";="-1.614239";="-.1609429";=".";="-.3922946";="";="";="";="";="";="";="3.606071";="9.266562";="3.703056"
="p";=".0667395";=".40577";=".8798506";=".1064756";=".8721383";=".";=".6948405";="";="";="";="";="";="";=".0003109";="0";=".000213"
="structbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0039146";="-.0057881";=".000191";=".0131101";=".0000278";="0";=".0253224";="";="";="";="";="";="";="";="";=""
="t";="1.844256";="-.8343132";=".1512711";="1.63979";=".1610255";=".";=".3970005";="";="";="";="";="";="";="";="";=""
="p";=".0651459";=".4041045";=".8797619";=".1010488";=".8720733";=".";=".6913671";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029926";=".0044249";="-.000146";="-.0100223";="-.0000213";="0";="-.0195394";="";="";="";="";="";="";="";="";=""
="t";="-1.845352";=".8486445";="-.1508008";="-1.626624";="-.1607906";=".";="-.3959245";="";="";="";="";="";="";="";="";=""
="p";=".0649864";=".3960791";=".8801329";=".1038169";=".8722583";=".";=".6921607";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000922";=".0013633";="-.000045";="-.0030878";="-6.55e-06";="0";="-.005783";="";="";="";="";="";="";="";="";=""
="t";="-1.613902";=".7712777";="-.1526715";="-1.506087";="-.1615759";=".";="-.3979673";="";="";="";="";="";="";="";="";=""
="p";=".1065487";=".4405424";=".8786573";=".1320448";=".8716398";=".";=".6906543";="";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0116169";=".0169383";="-.0004623";="-.0394956";="-.0000932";="";="";="0";=".0161923";="";="";="";="";=".6565936";="1.903115";="1.002842"
="t";="-1.812681";=".8080894";="-.1228115";="-1.631756";="-.1796348";="";="";=".";=".0941264";="";="";="";="";="3.788023";="9.303844";="3.702135"
="p";=".0698811";=".4190391";=".9022564";=".1027309";=".8574393";="";="";=".";=".9250088";="";="";="";="";=".0001519";="0";=".0002138"
="structbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0038705";="-.0056435";=".000154";=".0131591";=".0000311";="";="";="0";="-.00541";="";="";="";="";="";="";=""
="t";="1.823369";="-.8105163";=".1229033";="1.65783";=".1797369";="";="";=".";="-.093904";="";="";="";="";="";="";=""
="p";=".0682476";=".4176435";=".9021837";=".0973518";=".8573591";="";="";=".";=".9251854";="";="";="";="";="";="";=""
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029653";=".0043237";="-.000118";="-.0100816";="-.0000238";="";="";="0";=".0041373";="";="";="";="";="";="";=""
="t";="-1.825574";=".8241814";="-.1225933";="-1.643476";="-.1794494";="";="";=".";=".0938865";="";="";="";="";="";="";=""
="p";=".0679145";=".4098365";=".9024292";=".1002844";=".8575849";="";="";=".";=".9251993";="";="";="";="";="";="";=""
="structbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0009052";=".0013198";="-.000036";="-.0030775";="-7.26e-06";="";="";="0";=".0012727";="";="";="";="";="";="";=""
="t";="-1.597424";=".7507056";="-.123852";="-1.522375";="-.1804196";="";="";=".";=".0939273";="";="";="";="";="";="";=""
="p";=".1101713";=".4528299";=".9014325";=".1279151";=".8568231";="";="";=".";=".9251669";="";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0116124";=".0168938";="-.0004661";="-.0395849";="-.0000925";="";="";="";="";="0";=".019194";="";="";=".6586638";="1.905203";="1.002564"
="t";="-1.809655";=".8002913";="-.1230744";="-1.618356";="-.1777017";="";="";="";="";=".";=".1092425";="";="";="3.733714";="9.03218";="3.718153"
="p";=".0703493";=".423542";=".9020482";=".1055859";=".8589572";="";="";="";="";=".";=".9130101";="";="";=".0001887";="0";=".0002007"
="structbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".003868";="-.0056273";=".0001553";=".0131856";=".0000308";="";="";="";="";="0";="-.0064109";="";="";="";="";=""
="t";="1.818638";="-.8020503";=".1231622";="1.648403";=".1777885";="";="";="";="";=".";="-.109";="";="";="";="";=""
="p";=".0689667";=".4225239";=".9019787";=".0992699";=".8588891";="";="";="";="";=".";=".9132025";="";="";="";="";=""
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029637";=".0043117";="-.000119";="-.010103";="-.0000236";="";="";="";="";="0";=".0049034";="";="";="";="";=""
="t";="-1.821891";=".8157898";="-.1228497";="-1.630702";="-.1775141";="";="";="";="";=".";=".1089358";="";="";="";="";=""
="p";=".0684716";=".4146204";=".9022261";=".1029532";=".8591046";="";="";="";="";=".";=".9132534";="";="";="";="";=""
