="";="foogrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0019067";="-.0051989";="-.0027516";="-4.79e-06";="-.0075246";="0";=".243367";="";="";="";="";="";="";=".6701799";="1.850621";=".9036986"
="t";="-.3472217";="-.2334203";="-.9554214";="-.0015101";="-1.016469";=".";="1.637863";="";="";="";="";="";="";="4.14966";="9.353904";="4.132288"
="p";=".7284248";=".8154351";=".3393646";=".9987951";=".3094059";=".";=".1014502";="";="";="";="";="";="";=".0000333";="0";=".0000359"
="grossdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0006008";=".0016381";=".000867";="1.51e-06";=".002371";="0";="-.079939";="";="";="";="";="";="";="";="";=""
="t";=".3470577";=".233289";=".9630385";=".0015101";="1.021412";=".";="-1.587307";="";="";="";="";="";="";="";="";=""
="p";=".7285479";=".815537";=".3355282";=".9987952";=".3070591";=".";=".112443";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004635";="-.0012639";="-.0006689";="-1.17e-06";="-.0018293";="0";=".0604027";="";="";="";="";="";="";="";="";=""
="t";="-.3471316";="-.2342322";="-.9681429";="-.0015101";="-1.028279";=".";="1.665681";="";="";="";="";="";="";="";="";=""
="p";=".7284924";=".8148047";=".332973";=".9987951";=".3038186";=".";=".0957769";="";="";="";="";="";="";="";="";=""
="grossdebt_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001373";="-.0003742";="-.0001981";="-3.45e-07";="-.0005417";="0";=".0195363";="";="";="";="";="";="";="";="";=""
="t";="-.3450701";="-.2296865";="-.9128839";="-.00151";="-.9600248";=".";="1.291859";="";="";="";="";="";="";="";="";=""
="p";=".7300417";=".8183354";=".3613036";=".9987952";=".3370427";=".";=".1964058";="";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0015206";="-.0073911";="-.0024813";=".0002239";="-.007887";="";="";="0";=".3382208";="";="";="";="";=".7110416";="1.893464";=".8910754"
="t";="-.2781294";="-.3295244";="-.8658815";=".0706127";="-1.036626";="";="";=".";="1.984363";="";="";="";="";="4.353646";="9.776834";="4.092547"
="p";=".780913";=".7417594";=".3865552";=".943706";=".2999103";="";="";=".";=".0472153";="";="";="";="";=".0000134";="0";=".0000427"
="grossdebt_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004739";=".0023034";=".0007733";="-.0000698";=".002458";="";="";="0";="-.1109274";="";="";="";="";="";="";=""
="t";=".2779431";=".3294771";=".8710311";="-.0706604";="1.043814";="";="";=".";="-1.935906";="";="";="";="";="";="";=""
="p";=".781056";=".7417951";=".3837372";=".943668";=".2965714";="";="";=".";=".0528792";="";="";="";="";="";="";=""
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003656";="-.0017772";="-.0005967";=".0000538";="-.0018965";="";="";="0";=".0837328";="";="";="";="";="";="";=""
="t";="-.2778495";="-.3315262";="-.8747129";=".070634";="-1.051482";="";="";=".";="2.07335";="";="";="";="";="";="";=""
="p";=".7811279";=".7402471";=".3817302";=".9436891";=".2930371";="";="";=".";=".0381397";="";="";="";="";="";="";=""
="grossdebt_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001082";="-.0005262";="-.0001766";=".0000159";="-.0005615";="";="";="0";=".0271946";="";="";="";="";="";="";=""
="t";="-.2773443";="-.3214607";="-.8339002";=".0707349";="-.9780123";="";="";=".";="1.47256";="";="";="";="";="";="";=""
="p";=".7815157";=".7478613";=".4043372";=".9436087";=".3280682";="";="";=".";=".1408698";="";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017482";="-.0094441";="-.0028822";=".0003369";="-.0083658";="";="";="";="";="0";=".3507539";="";="";=".7293114";="1.910339";=".8819148"
="t";="-.3218995";="-.414822";="-1.011521";=".1060472";="-1.05411";="";="";="";="";=".";="1.565911";="";="";="4.216605";="9.419861";="4.055166"
="p";=".7475289";=".6782722";=".311767";=".9155449";=".2918326";="";="";="";="";=".";=".1173696";="";="";=".0000248";="0";=".0000501"
="grossdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005431";=".0029337";=".0008953";="-.0001046";=".0025987";="";="";="";="";="0";="-.1133811";="";="";="";="";=""
="t";=".3216687";=".4150748";="1.017205";="-.1061395";="1.064163";="";="";="";="";=".";="-1.552293";="";="";="";="";=""
="p";=".7477037";=".6780872";=".309056";=".9154716";=".2872547";="";="";="";="";=".";=".1205922";="";="";="";="";=""
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004185";="-.002261";="-.00069";=".0000806";="-.0020029";="";="";="";="";="0";=".0861461";="";="";="";="";=""
="t";="-.3215633";="-.4185213";="-1.023945";=".106066";="-1.072818";="";="";="";="";=".";="1.614196";="";="";="";="";=""
="p";=".7477836";=".675566";=".3058612";=".91553";=".2833529";="";="";="";="";=".";=".1064848";="";="";="";="";=""
="grossdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001245";="-.0006726";="-.0002053";=".000024";="-.0005958";="";="";="";="";="0";=".027235";="";="";="";="";=""
="t";="-.3206213";="-.4014179";="-.9572214";=".1063373";="-.9935492";="";="";="";="";=".";="1.290871";="";="";="";="";=""
="p";=".7484974";=".6881124";=".3384555";=".9153147";=".3204424";="";="";="";="";=".";=".1967485";="";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0022266";="-.005451";="-.0029385";="-.0000395";="-.0070745";="";="";="";="";="";="";="0";=".1746208";=".6814152";="1.858783";=".9059336"
="t";="-.4149238";="-.2497684";="-1.023042";="-.0125487";="-.971721";="";="";="";="";="";="";=".";=".5393117";="3.017894";="7.312562";="3.68779"
="p";=".6781977";=".8027664";=".3062882";=".9899879";=".3311894";="";="";="";="";="";="";=".";=".5896718";=".0025454";="2.62e-13";=".0002262"
="grossdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0007026";=".00172";=".0009272";=".0000125";=".0022322";="";="";="";="";="";="";="0";="-.0557522";="";="";=""
="t";=".4152946";=".2496847";="1.027699";=".0125465";=".9768512";="";="";="";="";="";="";=".";="-.5414226";="";="";=""
="p";=".6779263";=".8028312";=".3040915";=".9899896";=".3286428";="";="";="";="";="";="";=".";=".5882164";="";="";=""
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000542";="-.0013269";="-.0007153";="-9.63e-06";="-.0017221";="";="";="";="";="";="";="0";=".0428082";="";="";=""
="t";="-.4156092";="-.2507117";="-1.035541";="-.0125473";="-.9824849";="";="";="";="";="";="";=".";=".5429349";="";="";=""
="p";=".677696";=".802037";=".3004163";=".9899889";=".325861";="";="";="";="";="";="";=".";=".5871746";="";="";=""
="grossdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001606";="-.0003931";="-.0002119";="-2.85e-06";="-.0005102";="";="";="";="";="";="";="0";=".012944";="";="";=""
="t";="-.4113107";="-.2457017";="-.9631818";="-.0125427";="-.9239622";="";="";="";="";="";="";=".";=".530156";="";="";=""
