
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00991";="-0.00129";="-0.00982";="-0.00127";="-0.00989";="-0.00128";="-0.01000";="-0.00131"
="";="(-1.06)";="(-1.01)";="(-1.04)";="(-0.99)";="(-1.05)";="(-1.00)";="(-1.09)";="(-1.04)"
="NGDP_RPCH";="0.0442";="0.00573";="0.0436";="0.00564";="0.0427";="0.00553";="0.0482";="0.00633"
="";="(1.26)";="(1.17)";="(1.24)";="(1.15)";="(1.18)";="(1.09)";="(1.32)";="(1.19)"
="ExtDebtPercGNI_Var";="-0.00601";="-0.000780";="-0.00620";="-0.000804";="-0.00622";="-0.000805";="-0.00600";="-0.000789"
="";="(-0.82)";="(-0.78)";="(-0.86)";="(-0.82)";="(-0.85)";="(-0.81)";="(-0.83)";="(-0.79)"
="BudgetBal_NGDP_Var";="0.0000783";="0.0000102";="0.0000781";="0.0000101";="0.0000789";="0.0000102";="0.0000756";="0.00000993"
="";="(0.54)";="(0.53)";="(0.54)";="(0.53)";="(0.55)";="(0.54)";="(0.52)";="(0.52)"
="PCPIPCH";="0.0212";="0.00275";="0.0210";="0.00272";="0.0202";="0.00261";="0.0254";="0.00334"
="";="(0.43)";="(0.44)";="(0.43)";="(0.43)";="(0.40)";="(0.40)";="(0.51)";="(0.51)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.108";="0.0149";="";="";="";="";="";=""
="";="(0.28)";="(0.26)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.115";="0.0159";="";="";="";=""
="";="";="";="(0.26)";="(0.24)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0989";="0.0135";="";=""
="";="";="";="";="";="(0.27)";="(0.25)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.193";="-0.0232"
="";="";="";="";="";="";="";="(-0.42)";="(-0.45)"
="Const";="-1.663***";="";="-1.665***";="";="-1.662***";="";="-1.637***";=""
="";="(-4.49)";="";="(-4.50)";="";="(-4.55)";="";="(-4.49)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.101";="";="0.101";="";="0.0991";="";="0.133";=""
="";="(0.30)";="";="(0.30)";="";="(0.29)";="";="(0.38)";=""

="Observations";="555";="555";="555";="555";="555";="555";="555";="555"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
