
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0126";="-0.00166";="-0.0126";="-0.00165";="-0.0126";="-0.00166";="-0.0129";="-0.00172"
="";="(-1.36)";="(-1.26)";="(-1.34)";="(-1.24)";="(-1.36)";="(-1.25)";="(-1.41)";="(-1.29)"
="NGDP_RPCH";="0.0181";="0.00237";="0.0177";="0.00233";="0.0174";="0.00228";="0.0210";="0.00280"
="";="(0.45)";="(0.44)";="(0.44)";="(0.43)";="(0.42)";="(0.42)";="(0.50)";="(0.49)"
="ExtDebtPercGNI_Var";="-0.00816";="-0.00107";="-0.00831";="-0.00109";="-0.00832";="-0.00109";="-0.00813";="-0.00108"
="";="(-0.93)";="(-0.88)";="(-0.97)";="(-0.91)";="(-0.97)";="(-0.91)";="(-0.95)";="(-0.90)"
="GGXWDG_NGDP_Var";="-0.0120";="-0.00158";="-0.0120";="-0.00157";="-0.0120";="-0.00157";="-0.0127*";="-0.00169"
="";="(-1.49)";="(-1.32)";="(-1.48)";="(-1.31)";="(-1.49)";="(-1.31)";="(-1.66)";="(-1.45)"
="PCPIPCH";="0.0208";="0.00274";="0.0207";="0.00271";="0.0204";="0.00267";="0.0257";="0.00343"
="";="(0.44)";="(0.44)";="(0.43)";="(0.43)";="(0.41)";="(0.42)";="(0.53)";="(0.54)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0713";="0.00978";="";="";="";="";="";=""
="";="(0.18)";="(0.18)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0795";="0.0109";="";="";="";=""
="";="";="";="(0.18)";="(0.17)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0549";="0.00741";="";=""
="";="";="";="";="";="(0.15)";="(0.14)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.245";="-0.0293"
="";="";="";="";="";="";="";="(-0.53)";="(-0.58)"
="Const";="-1.535***";="";="-1.536***";="";="-1.534***";="";="-1.498***";=""
="";="(-4.17)";="";="(-4.19)";="";="(-4.24)";="";="(-4.16)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.103";="";="0.103";="";="0.103";="";="0.144";=""
="";="(0.31)";="";="(0.31)";="";="(0.30)";="";="(0.41)";=""

="Observations";="555";="555";="555";="555";="555";="555";="555";="555"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
