
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00858";="-0.00110";="-0.00848";="-0.00109";="-0.00855";="-0.00109";="-0.00864";="-0.00113"
="";="(-0.91)";="(-0.87)";="(-0.89)";="(-0.85)";="(-0.89)";="(-0.86)";="(-0.93)";="(-0.89)"
="NGDP_RPCH";="0.0476";="0.00611";="0.0469";="0.00601";="0.0460";="0.00589";="0.0520";="0.00677"
="";="(1.40)";="(1.27)";="(1.38)";="(1.25)";="(1.31)";="(1.19)";="(1.47)";="(1.29)"
="ExtDebtPercGNI_Var";="-0.00689";="-0.000884";="-0.00709";="-0.000908";="-0.00712";="-0.000911";="-0.00686";="-0.000894"
="";="(-0.87)";="(-0.83)";="(-0.91)";="(-0.87)";="(-0.91)";="(-0.86)";="(-0.88)";="(-0.84)"
="GGXWDN_NGDP_Var";="0.0000147*";="0.00000189";="0.0000147*";="0.00000189";="0.0000149*";="0.00000191";="0.0000149*";="0.00000194"
="";="(1.72)";="(1.48)";="(1.72)";="(1.48)";="(1.74)";="(1.49)";="(1.76)";="(1.51)"
="PCPIPCH";="0.0193";="0.00248";="0.0191";="0.00244";="0.0181";="0.00232";="0.0239";="0.00311"
="";="(0.39)";="(0.39)";="(0.38)";="(0.38)";="(0.35)";="(0.35)";="(0.47)";="(0.47)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.103";="0.0141";="";="";="";="";="";=""
="";="(0.27)";="(0.25)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.116";="0.0159";="";="";="";=""
="";="";="";="(0.26)";="(0.24)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.105";="0.0142";="";=""
="";="";="";="";="";="(0.28)";="(0.27)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.219";="-0.0258"
="";="";="";="";="";="";="";="(-0.48)";="(-0.52)"
="Const";="-1.677***";="";="-1.679***";="";="-1.677***";="";="-1.648***";=""
="";="(-4.52)";="";="(-4.53)";="";="(-4.57)";="";="(-4.51)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.142";="";="0.142";="";="0.140";="";="0.176";=""
="";="(0.41)";="";="(0.41)";="";="(0.41)";="";="(0.51)";=""

="Observations";="555";="555";="555";="555";="555";="555";="555";="555"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
