
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0170*";="-0.00182";="-0.0170*";="-0.00184";="-0.0172*";="-0.00185";="-0.0160*";="-0.00189"
="";="(-1.89)";="(-1.62)";="(-1.89)";="(-1.63)";="(-1.90)";="(-1.64)";="(-1.75)";="(-1.59)"
="NGDP_RPCH";="0.0233";="0.00251";="0.0238";="0.00259";="0.0225";="0.00241";="0.0246";="0.00290"
="";="(0.51)";="(0.51)";="(0.53)";="(0.52)";="(0.49)";="(0.49)";="(0.54)";="(0.54)"
="ExtDebtPercGNI_Var";="0.000364";="0.0000392";="0.000358";="0.0000389";="0.000484";="0.0000520";="0.000486";="0.0000575"
="";="(0.10)";="(0.10)";="(0.09)";="(0.09)";="(0.13)";="(0.13)";="(0.13)";="(0.13)"
="BudgetBal_NGDP_Var";="0.00000898";="0.000000965";="0.00000360";="0.000000391";="0.00000467";="0.000000501";="0.00000924";="0.00000109"
="";="(0.57)";="(0.57)";="(0.23)";="(0.23)";="(0.29)";="(0.29)";="(0.57)";="(0.56)"
="PCPIPCH";="0.0622*";="0.00669*";="0.0648*";="0.00704*";="0.0664*";="0.00712*";="0.0739*";="0.00875*"
="";="(1.85)";="(1.79)";="(1.86)";="(1.78)";="(1.80)";="(1.73)";="(1.86)";="(1.76)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.617";="0.0953";="";="";="";="";="";=""
="";="(1.41)";="(1.07)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.359";="0.0481";="";="";="";=""
="";="";="";="(0.84)";="(0.71)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.265";="0.0328";="";=""
="";="";="";="";="";="(0.80)";="(0.72)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.541";="-0.0495"
="";="";="";="";="";="";="";="(-1.53)";="(-1.54)"
="Const";="-1.886***";="";="-1.865***";="";="-1.873***";="";="-1.714***";=""
="";="(-5.31)";="";="(-5.23)";="";="(-5.18)";="";="(-5.02)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.387";="";="0.377";="";="0.397";="";="0.350";=""
="";="(1.16)";="";="(1.14)";="";="(1.19)";="";="(1.07)";=""

="Observations";="759";="759";="759";="759";="759";="759";="759";="759"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
