
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0172*";="-0.00184";="-0.0172*";="-0.00186";="-0.0174*";="-0.00187";="-0.0162*";="-0.00191"
="";="(-1.91)";="(-1.63)";="(-1.91)";="(-1.64)";="(-1.92)";="(-1.64)";="(-1.77)";="(-1.60)"
="NGDP_RPCH";="0.0235";="0.00253";="0.0239";="0.00259";="0.0226";="0.00242";="0.0248";="0.00292"
="";="(0.52)";="(0.51)";="(0.53)";="(0.52)";="(0.50)";="(0.49)";="(0.55)";="(0.54)"
="ExtDebtPercGNI_Var";="0.000353";="0.0000379";="0.000371";="0.0000402";="0.000483";="0.0000518";="0.000471";="0.0000555"
="";="(0.09)";="(0.09)";="(0.10)";="(0.10)";="(0.13)";="(0.13)";="(0.12)";="(0.12)"
="GGXWDN_NGDP_Var";="-0.0000110";="-0.00000118";="-0.0000108";="-0.00000117";="-0.0000105";="-0.00000112";="-0.00000959";="-0.00000113"
="";="(-1.15)";="(-1.05)";="(-1.14)";="(-1.05)";="(-1.14)";="(-1.05)";="(-0.95)";="(-0.91)"
="PCPIPCH";="0.0630*";="0.00677*";="0.0654*";="0.00708*";="0.0670*";="0.00718*";="0.0745*";="0.00879*"
="";="(1.87)";="(1.81)";="(1.87)";="(1.79)";="(1.82)";="(1.75)";="(1.88)";="(1.77)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.613";="0.0943";="";="";="";="";="";=""
="";="(1.41)";="(1.07)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.368";="0.0494";="";="";="";=""
="";="";="";="(0.87)";="(0.73)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.261";="0.0322";="";=""
="";="";="";="";="";="(0.80)";="(0.72)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.535";="-0.0489"
="";="";="";="";="";="";="";="(-1.53)";="(-1.52)"
="Const";="-1.890***";="";="-1.872***";="";="-1.877***";="";="-1.720***";=""
="";="(-5.31)";="";="(-5.22)";="";="(-5.18)";="";="(-5.01)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.391";="";="0.386";="";="0.403";="";="0.357";=""
="";="(1.20)";="";="(1.19)";="";="(1.23)";="";="(1.11)";=""

="Observations";="759";="759";="759";="759";="759";="759";="759";="759"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
