
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0112";="-0.00319";="-0.0112";="-0.00318";="-0.0110";="-0.00314";="-0.0101";="-0.00290"
="";="(-1.44)";="(-1.41)";="(-1.44)";="(-1.42)";="(-1.41)";="(-1.39)";="(-1.30)";="(-1.29)"
="NGDP_RPCH";="0.0559";="0.0159";="0.0559";="0.0159";="0.0583*";="0.0166*";="0.0542";="0.0156"
="";="(1.61)";="(1.61)";="(1.63)";="(1.63)";="(1.71)";="(1.71)";="(1.62)";="(1.61)"
="ExtDebtPercGNI_Var";="0.00514";="0.00146";="0.00509";="0.00144";="0.00489";="0.00139";="0.00540";="0.00156"
="";="(1.20)";="(1.16)";="(1.17)";="(1.13)";="(1.06)";="(1.03)";="(1.26)";="(1.22)"
="BudgetBal_NGDP_Var";="0.000189**";="0.0000538**";="0.000189**";="0.0000538**";="0.000186**";="0.0000530**";="0.000190**";="0.0000548**"
="";="(2.34)";="(2.20)";="(2.35)";="(2.20)";="(2.32)";="(2.19)";="(2.37)";="(2.24)"
="PCPIPCH";="-0.0497";="-0.0141";="-0.0509";="-0.0144";="-0.0529";="-0.0151";="-0.0517";="-0.0149"
="";="(-1.59)";="(-1.52)";="(-1.60)";="(-1.53)";="(-1.61)";="(-1.54)";="(-1.55)";="(-1.48)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.855*";="-0.173**";="";="";="";="";="";=""
="";="(-1.88)";="(-2.42)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.739*";="-0.158**";="";="";="";=""
="";="";="";="(-1.69)";="(-2.09)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.765***";="-0.167***";="";=""
="";="";="";="";="";="(-2.90)";="(-3.03)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.509";="-0.128"
="";="";="";="";="";="";="";="(-1.38)";="(-1.54)"
="Const";="-0.703**";="";="-0.701**";="";="-0.670**";="";="-0.649**";=""
="";="(-2.56)";="";="(-2.54)";="";="(-2.46)";="";="(-2.41)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.516";="";="0.497";="";="0.510";="";="0.443";=""
="";="(1.37)";="";="(1.34)";="";="(1.41)";="";="(1.25)";=""

="Observations";="795";="795";="795";="795";="795";="795";="795";="795"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
