
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00629";="-0.00175";="-0.00628";="-0.00174";="-0.00626";="-0.00175";="-0.00522";="-0.00147"
="";="(-0.79)";="(-0.78)";="(-0.79)";="(-0.78)";="(-0.78)";="(-0.78)";="(-0.66)";="(-0.66)"
="NGDP_RPCH";="0.0797**";="0.0221**";="0.0795**";="0.0221**";="0.0808**";="0.0225**";="0.0768**";="0.0217**"
="";="(2.43)";="(2.38)";="(2.45)";="(2.40)";="(2.52)";="(2.46)";="(2.46)";="(2.39)"
="ExtDebtPercGNI_Var";="0.00491";="0.00137";="0.00485";="0.00134";="0.00457";="0.00127";="0.00509";="0.00144"
="";="(1.22)";="(1.17)";="(1.19)";="(1.14)";="(1.06)";="(1.03)";="(1.27)";="(1.23)"
="GGXWDG_NGDP_Var";="0.0126***";="0.00349**";="0.0125***";="0.00346**";="0.0120***";="0.00335**";="0.0119***";="0.00337**"
="";="(2.78)";="(2.50)";="(2.78)";="(2.50)";="(2.78)";="(2.51)";="(2.83)";="(2.53)"
="PCPIPCH";="-0.0453";="-0.0126";="-0.0466";="-0.0129";="-0.0486";="-0.0136";="-0.0475";="-0.0134"
="";="(-1.32)";="(-1.27)";="(-1.34)";="(-1.28)";="(-1.36)";="(-1.30)";="(-1.31)";="(-1.26)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.922**";="-0.176***";="";="";="";="";="";=""
="";="(-2.18)";="(-2.73)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.794*";="-0.162**";="";="";="";=""
="";="";="";="(-1.92)";="(-2.36)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.779***";="-0.165***";="";=""
="";="";="";="";="";="(-3.13)";="(-3.18)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.497";="-0.122"
="";="";="";="";="";="";="";="(-1.37)";="(-1.53)"
="Const";="-0.871***";="";="-0.868***";="";="-0.834***";="";="-0.816***";=""
="";="(-3.12)";="";="(-3.10)";="";="(-3.02)";="";="(-3.01)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.545";="";="0.524";="";="0.522";="";="0.449";=""
="";="(1.45)";="";="(1.41)";="";="(1.44)";="";="(1.27)";=""

="Observations";="795";="795";="795";="795";="795";="795";="795";="795"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
