
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0100";="-0.00287";="-0.00997";="-0.00285";="-0.00984";="-0.00282";="-0.00880";="-0.00256"
="";="(-1.29)";="(-1.27)";="(-1.29)";="(-1.27)";="(-1.27)";="(-1.25)";="(-1.15)";="(-1.14)"
="NGDP_RPCH";="0.0622*";="0.0178*";="0.0620*";="0.0177*";="0.0636*";="0.0182*";="0.0598*";="0.0174*"
="";="(1.87)";="(1.87)";="(1.89)";="(1.88)";="(1.95)";="(1.94)";="(1.86)";="(1.85)"
="ExtDebtPercGNI_Var";="0.00479";="0.00137";="0.00472";="0.00135";="0.00448";="0.00128";="0.00498";="0.00145"
="";="(1.13)";="(1.09)";="(1.10)";="(1.07)";="(0.99)";="(0.97)";="(1.17)";="(1.14)"
="GGXWDN_NGDP_Var";="0.000282";="0.0000808";="0.000233";="0.0000667";="0.000180";="0.0000517";="0.000138";="0.0000401"
="";="(0.48)";="(0.48)";="(0.38)";="(0.39)";="(0.29)";="(0.29)";="(0.52)";="(0.53)"
="PCPIPCH";="-0.0504";="-0.0144";="-0.0514";="-0.0147";="-0.0532";="-0.0152";="-0.0519";="-0.0151"
="";="(-1.60)";="(-1.53)";="(-1.61)";="(-1.54)";="(-1.62)";="(-1.55)";="(-1.55)";="(-1.49)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.925**";="-0.183***";="";="";="";="";="";=""
="";="(-2.23)";="(-2.79)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.792*";="-0.168**";="";="";="";=""
="";="";="";="(-1.93)";="(-2.38)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.766***";="-0.169***";="";=""
="";="";="";="";="";="(-3.15)";="(-3.19)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.510";="-0.129"
="";="";="";="";="";="";="";="(-1.37)";="(-1.53)"
="Const";="-0.716***";="";="-0.714***";="";="-0.687**";="";="-0.666**";=""
="";="(-2.62)";="";="(-2.60)";="";="(-2.54)";="";="(-2.48)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.524";="";="0.501";="";="0.501";="";="0.438";=""
="";="(1.40)";="";="(1.35)";="";="(1.39)";="";="(1.24)";=""

="Observations";="795";="795";="795";="795";="795";="795";="795";="795"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
