="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0126404";=".0180742";="-.0081611";="-.0120096";=".0208368";="0";=".0713467";="";="";="";="";="";="";="-1.534915";=".1033211"
="t";="-1.363546";=".4451163";="-.9292212";="-1.488797";=".4388521";=".";=".1848538";="";="";="";="";="";="";="-4.166983";=".3057656"
="p";=".1727105";=".6562357";=".3527745";=".136541";=".6607687";=".";=".8533437";="";="";="";="";="";="";=".0000309";=".7597831"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016598";=".0023734";="-.0010717";="-.001577";=".0027361";="0";=".0097817";="";="";="";="";="";="";="";=""
="t";="-1.259452";=".4423378";="-.877745";="-1.317345";=".4428402";=".";=".1772241";="";="";="";="";="";="";="";=""
="p";=".2078672";=".6582448";=".3800821";=".187723";=".6578813";=".";=".8593323";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0125695";=".0177232";="-.0083092";="-.0119639";=".0206902";="";="";="0";=".0795239";="";="";="";="";="-1.536462";=".1030947"
="t";="-1.338018";=".4360501";="-.9720126";="-1.483068";=".4310688";="";="";=".";=".1771405";="";="";="";="";="-4.186774";=".3057102"
="p";=".1808906";=".6628004";=".3310443";=".1380563";=".6664184";="";="";=".";=".859398";="";="";="";="";=".0000283";=".7598253"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.001649";=".0023251";="-.0010901";="-.0015695";=".0027143";="";="";="0";=".0109214";="";="";="";="";="";=""
="t";="-1.237623";=".4333939";="-.913589";="-1.313652";=".4348869";="";="";=".";=".1693646";="";="";="";="";="";=""
="p";=".2158558";=".6647286";=".3609328";=".1889632";=".6636445";="";="";=".";=".8655098";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0126444";=".0174137";="-.0083173";="-.0119702";=".0203816";="";="";="";="";="0";=".0548999";="";="";="-1.53406";=".1025447"
="t";="-1.358083";=".4201854";="-.9650056";="-1.485328";=".4138933";="";="";="";="";=".";=".1481048";="";="";="-4.244671";=".30313"
="p";=".1744375";=".67435";=".334542";=".137457";=".6789522";="";="";="";="";=".";=".8822601";="";="";=".0000219";=".7617908"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016584";=".0022839";="-.0010909";="-.00157";=".0026731";="";="";="";="";="0";=".007408";="";="";="";=""
="t";="-1.253998";=".4172861";="-.9105532";="-1.314209";=".4166472";="";="";="";="";=".";=".1441254";="";="";="";=""
="p";=".2098428";=".6764692";=".3625309";=".1887759";=".6769365";="";="";="";="";=".";=".8854014";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.012892";=".0210339";="-.0081325";="-.0126779";=".0257482";="";="";="";="";="";="";="0";="-.2451358";="-1.497928";=".1438879"
="t";="-1.41444";=".5030687";="-.945756";="-1.663857";=".5328454";="";="";="";="";="";="";=".";="-.5279527";="-4.157804";=".4111879"
="p";=".1572327";=".614916";=".344273";=".0961411";=".5941406";="";="";="";="";="";="";=".";=".5975322";=".0000321";=".6809348"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017187";=".0028042";="-.0010842";="-.0016902";=".0034327";="";="";="";="";="";="";="0";="-.0292564";="";=""
="t";="-1.293854";=".4948832";="-.8987783";="-1.447476";=".5351639";="";="";="";="";="";="";=".";="-.5766049";="";=""
="p";=".1957158";=".6206826";=".3687708";=".1477637";=".5925366";="";="";="";="";="";="";=".";=".5642064";="";=""
=""
