="";="foodw_sfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0169642";=".0233147";=".0003642";="8.98e-06";=".0622382";="0";=".616807";="";="";="";="";="";="";="-1.885782";=".3868917"
="t";="-1.888744";=".5148914";=".0963054";=".5715205";="1.852277";=".";="1.413948";="";="";="";="";="";="";="-5.305255";="1.159417"
="p";=".0589262";=".6066289";=".923278";=".5676468";=".0639861";=".";=".1573772";="";="";="";="";="";="";="1.13e-07";=".2462862"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018248";=".0025079";=".0000392";="9.65e-07";=".0066948";="0";=".095339";="";="";="";="";="";="";="";=""
="t";="-1.624575";=".5095937";=".096541";=".5663747";="1.788946";=".";="1.074541";="";="";="";="";="";="";="";=""
="p";=".1042531";=".6103361";=".9230909";=".5711391";=".0736236";=".";=".2825803";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0169507";=".0238358";=".0003583";="3.60e-06";=".0648188";="";="";="0";=".3590025";="";="";="";="";="-1.864866";=".3766909"
="t";="-1.887999";=".527035";=".0942295";=".2262865";="1.855749";="";="";=".";=".8427003";="";="";="";="";="-5.225508";="1.1428"
="p";=".059026";=".5981693";=".9249268";=".8209786";=".0634893";="";="";=".";=".3993961";="";="";="";="";="1.74e-07";=".2531217"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018417";=".0025898";=".0000389";="3.91e-07";=".0070427";="";="";="0";=".0481471";="";="";="";="";="";=""
="t";="-1.626394";=".5210319";=".0944673";=".2255999";="1.778857";="";="";=".";=".7124129";="";="";="";="";="";=""
="p";=".1038658";=".6023445";=".9247379";=".8215126";=".0752632";="";="";=".";=".4762091";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0172313";=".0224852";=".0004841";="4.67e-06";=".0663608";="";="";="";="";="0";=".2649667";="";="";="-1.872652";=".3969433"
="t";="-1.901237";=".4942867";=".1253859";=".2928147";="1.798232";="";="";="";="";=".";=".8021136";="";="";="-5.181034";="1.193755"
="p";=".057271";=".6211037";=".900218";=".7696638";=".0721403";="";="";="";="";=".";=".4224873";="";="";="2.21e-07";=".2325737"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018493";=".0024132";=".000052";="5.01e-07";=".007122";="";="";="";="";="0";=".0327693";="";="";="";=""
="t";="-1.636618";=".4879307";=".1257692";=".2914059";="1.734008";="";="";="";="";=".";=".7239264";="";="";="";=""
="p";=".1017102";=".6255989";=".8999146";=".7707409";=".0829167";="";="";="";="";=".";=".4691109";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0159965";=".0245535";=".0004863";="9.24e-06";=".0739358";="";="";="";="";="";="";="0";="-.5405299";="-1.713601";=".3504313"
="t";="-1.747879";=".544657";=".1286779";=".5734633";="1.863978";="";="";="";="";="";="";=".";="-1.533613";="-5.018259";="1.070265"
="p";=".0804849";=".5859895";=".8976125";=".5663311";=".0623248";="";="";="";="";="";="";=".";=".1251249";="5.21e-07";=".2844999"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018921";=".0029042";=".0000575";="1.09e-06";=".0087453";="";="";="";="";="";="";="0";="-.0494814";="";=""
="t";="-1.588419";=".5363499";=".1288383";=".5629455";="1.756947";="";="";="";="";="";="";=".";="-1.542284";="";=""
="p";=".1121916";=".5917167";=".8974856";=".573472";=".0789269";="";="";="";="";="";="";=".";=".1230046";="";=""
=""
