="";="foodw_sfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0171528";=".0235159";=".0003529";="-.000011";=".0629844";="0";=".612662";="";="";="";="";="";="";="-1.889915";=".3913329"
="t";="-1.906175";=".518545";=".0932791";="-1.153571";="1.874195";=".";="1.411569";="";="";="";="";="";="";="-5.314368";="1.19977"
="p";=".0566275";=".6040781";=".9256818";=".2486761";=".0609036";=".";=".1580768";="";="";="";="";="";="";="1.07e-07";=".2302288"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018432";=".002527";=".0000379";="-1.18e-06";=".0067683";="0";=".0943342";="";="";="";="";="";="";="";=""
="t";="-1.632069";=".5131584";=".0935027";="-1.054101";="1.809887";=".";="1.071728";="";="";="";="";="";="";="";=""
="p";=".102665";=".6078406";=".9255042";=".2918367";=".0703133";=".";=".2838423";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0171967";=".0239036";=".0003713";="-.0000108";=".0654256";="";="";="0";=".367927";="";="";="";="";="-1.872464";=".3856429"
="t";="-1.909394";=".5274885";=".0975816";="-1.142952";="1.871254";="";="";=".";=".8715538";="";="";="";="";="-5.224366";="1.18783"
="p";=".0562113";=".5978544";=".9222646";=".2530584";=".0613099";="";="";=".";=".3834518";="";="";="";="";="1.75e-07";=".2349003"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018599";=".0025853";=".0000402";="-1.17e-06";=".007076";="";="";="0";=".0493589";="";="";="";="";="";=""
="t";="-1.63609";=".5215327";=".0978424";="-1.045062";="1.794509";="";="";=".";=".7343439";="";="";="";="";="";=""
="p";=".1018208";=".6019957";=".9220574";=".2959945";=".072732";="";="";=".";=".4627391";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0174265";=".022611";=".0004833";="-.0000105";=".0670375";="";="";="";="";="0";=".261255";="";="";="-1.87706";=".402768"
="t";="-1.917332";=".4962065";=".1251667";="-1.143504";="1.816149";="";="";="";="";=".";=".7952851";="";="";="-5.180969";="1.229462"
="p";=".0551958";=".6197487";=".9003916";=".2528293";=".0693475";="";="";="";="";=".";=".4264477";="";="";="2.21e-07";=".2188988"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0018671";=".0024226";=".0000518";="-1.12e-06";=".0071826";="";="";="";="";="0";=".0321883";="";="";="";=""
="t";="-1.643807";=".4897228";=".1255534";="-1.046358";="1.749152";="";="";="";="";=".";=".7200378";="";="";="";=""
="p";=".1002162";=".62433";=".9000854";=".2953959";=".0802648";="";="";="";="";=".";=".4715017";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0161953";=".0247849";=".0004711";="-9.59e-06";=".0745255";="";="";="";="";="";="";="0";="-.5345999";="-1.719738";=".3574092"
="t";="-1.766989";=".5489296";=".124563";="-.9477561";="1.878651";="";="";="";="";="";="";=".";="-1.527839";="-5.006863";="1.109774"
="p";=".0772301";=".5830538";=".9008695";=".3432536";=".0602921";="";="";="";="";="";="";=".";=".1265525";="5.53e-07";=".2670966"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0019097";=".0029225";=".0000555";="-1.13e-06";=".0087876";="";="";="";="";="";="";="0";="-.0489239";="";=""
="t";="-1.599522";=".5405256";=".1247253";="-.9058229";="1.768956";="";="";="";="";="";="";=".";="-1.521925";="";=""
="p";=".1097048";=".5888346";=".9007411";=".3650296";=".0769012";="";="";="";="";="";="";=".";=".1280279";="";=""
=""
