="";="foodw_smbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0112178";=".0558692";=".0051426";=".0001895";="-.0497201";="0";="-.8548894";="";="";="";="";="";="";="-.7029884";=".5158312"
="t";="-1.441082";="1.614787";="1.203679";="2.344058";="-1.592741";=".";="-1.884239";="";="";="";="";="";="";="-2.556961";="1.371007"
="p";=".1495614";=".1063568";=".2287138";=".0190752";=".1112184";=".";=".0595327";="";="";="";="";="";="";=".0105591";=".1703728"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031874";=".0158747";=".0014612";=".0000538";="-.0141275";="0";="-.1732509";="";="";="";="";="";="";="";=""
="t";="-1.414891";="1.612225";="1.158161";="2.200704";="-1.518012";=".";="-2.420939";="";="";="";="";="";="";="";=""
="p";=".1571005";=".1069129";=".2467982";=".027757";=".1290114";=".";=".0154805";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0111964";=".0559169";=".0050882";=".0001895";="-.0508631";="";="";="0";="-.7385615";="";="";="";="";="-.7007571";=".4967875"
="t";="-1.441434";="1.628823";="1.174846";="2.34783";="-1.603389";="";="";=".";="-1.686854";="";="";="";="";="-2.538947";="1.335195"
="p";=".1494622";=".1033505";=".2400562";=".0188832";=".1088488";="";="";=".";=".0916314";="";="";="";="";=".0111187";=".1818125"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031768";=".0158657";=".0014437";=".0000538";="-.0144317";="";="";="0";="-.1584111";="";="";="";="";="";=""
="t";="-1.416829";="1.627496";="1.132724";="2.204789";="-1.528092";="";="";=".";="-2.093589";="";="";="";="";="";=""
="p";=".1565329";=".1036317";=".25733";=".0274689";=".1264896";="";="";=".";=".0362966";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0110438";=".0582646";=".0048879";=".0001865";="-.0529334";="";="";="";="";="0";="-.7654411";="";="";="-.6704641";=".5097258"
="t";="-1.414033";="1.714561";="1.064108";="2.320593";="-1.608081";="";="";="";="";=".";="-2.895444";="";="";="-2.464869";="1.409547"
="p";=".1573523";=".0864257";=".2872796";=".0203088";=".1078174";="";="";="";="";=".";=".0037862";="";="";=".0137063";=".1586736"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031413";=".0165729";=".0013903";=".000053";="-.0150565";="";="";="";="";="0";="-.1671708";="";="";="";=""
="t";="-1.393297";="1.706983";="1.034999";="2.193877";="-1.538399";="";="";="";="";=".";="-3.026718";="";="";="";=""
="p";=".1635299";=".0878253";=".3006695";=".0282442";=".1239512";="";="";="";="";=".";=".0024722";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0100547";=".0542484";=".0054005";=".0001901";="-.0516502";="";="";="";="";="";="";="0";="-.5092001";="-.6489711";=".4427042"
="t";="-1.302326";="1.618749";="1.263922";="2.369471";="-1.546292";="";="";="";="";="";="";=".";="-1.383242";="-2.41481";="1.254653"
="p";=".1928048";=".1055013";=".206258";=".0178136";=".1220341";="";="";="";="";="";="";=".";=".1665908";=".0157434";=".2096047"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028995";=".0156439";=".0015574";=".0000548";="-.0148947";="";="";="";="";="";="";="0";="-.1276386";="";=""
="t";="-1.289499";="1.612196";="1.220438";="2.236559";="-1.483885";="";="";="";="";="";="";=".";="-1.544325";="";=""
="p";=".1972247";=".1069193";=".2222989";=".0253151";=".1378395";="";="";="";="";="";="";=".";=".1225096";="";=""
=""
