="";="foodw_smgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0062871";=".0796762";=".0049137";=".0125582";="-.0452902";="0";="-.9217484";="";="";="";="";="";="";="-.8714544";=".5448892"
="t";="-.7871368";="2.434496";="1.221328";="2.776413";="-1.319964";=".";="-2.175889";="";="";="";="";="";="";="-3.121802";="1.44911"
="p";=".4312018";=".0149126";=".2219619";=".0054962";=".186847";=".";=".0295636";="";="";="";="";="";="";=".0017975";=".1473068"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017466";=".0221348";=".0013651";=".0034888";="-.012582";="0";="-.176166";="";="";="";="";="";="";="";=""
="t";="-.7833862";="2.384824";="1.172158";="2.496307";="-1.265795";=".";="-2.727788";="";="";="";="";="";="";="";=""
="p";=".4334003";=".0170873";=".2411336";=".0125494";=".2055866";=".";=".0063761";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0062833";=".0795099";=".0048458";=".0124683";="-.0466118";="";="";="0";="-.7936165";="";="";="";="";="-.8678236";=".5240808"
="t";="-.7880686";="2.452946";="1.189268";="2.782639";="-1.340824";="";="";=".";="-1.923993";="";="";="";="";="-3.099245";="1.409664"
="p";=".4306566";=".0141692";=".2343341";=".0053919";=".1799776";="";="";=".";=".0543555";="";="";="";="";=".0019401";=".158639"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017427";=".0220531";=".0013441";=".0034582";="-.0129284";="";="";="0";="-.1615947";="";="";="";="";="";=""
="t";="-.7847203";="2.404361";="1.143885";="2.500748";="-1.284698";="";="";=".";="-2.358464";="";="";="";="";="";=""
="p";=".4326176";=".0162008";=".2526714";=".0123931";=".198898";="";="";=".";=".0183507";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0062649";=".0808397";=".0045721";=".0120377";="-.0486375";="";="";="";="";="0";="-.7788958";="";="";="-.8335106";=".521714"
="t";="-.7819378";="2.517203";="1.061543";="2.779526";="-1.357079";="";="";="";="";=".";="-3.133993";="";="";="-3.022782";="1.44494"
="p";=".4342511";=".0118291";=".2884434";=".0054438";=".174756";="";="";="";="";=".";=".0017245";="";="";=".0025046";=".1484747"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017454";=".0225219";=".0012738";=".0033537";="-.0135504";="";="";="";="";="0";="-.1648576";="";="";="";=""
="t";="-.7793669";="2.462109";="1.031397";="2.50618";="-1.304381";="";="";="";="";=".";="-3.18136";="";="";="";=""
="p";=".4357636";=".0138123";=".3023549";=".0122043";=".1921035";="";="";="";="";=".";=".0014659";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0052181";=".0767878";=".0050932";=".0119395";="-.047494";="";="";="";="";="";="";="0";="-.4965526";="-.8157493";=".4486429"
="t";="-.6568839";="2.456207";="1.27056";="2.833961";="-1.310293";="";="";="";="";="";="";=".";="-1.365933";="-3.007346";="1.273404"
="p";=".5112556";=".0140412";=".2038854";=".0045975";=".1900969";="";="";="";="";="";="";=".";=".1719601";=".0026354";=".2028747"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0014743";=".0216958";=".001439";=".0033734";="-.0134191";="";="";="";="";="";="";="0";="-.1218953";="";=""
="t";="-.6560523";="2.394136";="1.225376";="2.534171";="-1.260075";="";="";="";="";="";="";=".";="-1.525436";="";=""
="p";=".5117905";=".0166596";=".2204336";=".0112714";=".2076424";="";="";="";="";="";="";=".";=".1271504";="";=""
=""
