="";="fooup_smbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0106253";=".0008308";="-.0145598";=".000107";="-.0072774";="0";=".0726967";="";="";="";="";="";="";="-.9616702";=".5277255"
="t";="-1.812021";=".0293247";="-2.085663";="1.410684";="-.2551742";=".";=".1798093";="";="";="";="";="";="";="-3.853591";="1.500281"
="p";=".0699829";=".9766056";=".0370092";=".1583378";=".7985886";=".";=".8573023";="";="";="";="";="";="";=".0001164";=".1335417"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024252";=".0001896";="-.0033232";=".0000244";="-.001661";="0";=".0171178";="";="";="";="";="";="";="";=""
="t";="-1.73367";=".0293287";="-1.935023";="1.359977";="-.2561529";=".";=".1746016";="";="";="";="";="";="";="";=""
="p";=".0829767";=".9766025";=".0529875";=".1738371";=".7978327";=".";=".8613927";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0101915";="-.0020909";="-.0148";=".0001057";="-.0104085";="";="";="0";=".3264928";="";="";="";="";="-.9797354";=".5179089"
="t";="-1.752533";="-.0724702";="-2.076771";="1.422478";="-.3542419";="";="";=".";=".6863557";="";="";="";="";="-3.919008";="1.486886"
="p";=".0796822";=".9422277";=".0378227";=".1548875";=".7231576";="";="";=".";=".4924888";="";="";="";="";=".0000889";=".1370448"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0022922";="-.0004703";="-.0033287";=".0000238";="-.002341";="";="";="0";=".0836764";="";="";="";="";="";=""
="t";="-1.688839";="-.0724474";="-1.947035";="1.378928";="-.3563463";="";="";=".";=".6171654";="";="";="";="";="";=""
="p";=".0912502";=".9422459";=".0515306";=".167917";=".7215813";="";="";=".";=".5371256";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0106368";=".0003981";="-.0146526";=".0001081";="-.0074178";="";="";="";="";="0";=".0469407";="";="";="-.9597738";=".5279854"
="t";="-1.807753";=".0136458";="-2.05629";="1.433562";="-.2468994";="";="";="";="";=".";=".0874733";="";="";="-3.811306";="1.485182"
="p";=".0706449";=".9891126";=".0397546";=".1516974";=".8049861";="";="";="";="";=".";=".9302953";="";="";=".0001382";=".1374956"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024276";=".0000909";="-.0033441";=".0000247";="-.0016929";="";="";="";="";="0";=".0109108";="";="";="";=""
="t";="-1.722683";=".0136457";="-1.920061";="1.383276";="-.2481951";="";="";="";="";=".";=".0860857";="";="";="";=""
="p";=".0849459";=".9891127";=".0548503";=".1665803";=".8039835";="";="";="";="";=".";=".9313983";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0107482";=".0023976";="-.0146171";=".0001083";="-.0059763";="";="";="";="";="";="";="0";="-.0676726";="-.9466489";=".5393173"
="t";="-1.815509";=".0816815";="-2.076358";="1.432624";="-.2075371";="";="";="";="";="";="";=".";="-.1949227";="-3.773698";="1.491703"
="p";=".0694457";=".9349";=".0378608";=".1519653";=".8355904";="";="";="";="";="";="";=".";=".8454535";=".0001608";=".135777"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024714";=".0005513";="-.003361";=".0000249";="-.0013742";="";="";="";="";="";="";="0";="-.0152047";="";=""
="t";="-1.733894";=".0816285";="-1.92981";="1.381256";="-.2086835";="";="";="";="";="";="";=".";="-.1975982";="";=""
="p";=".082937";=".9349421";=".0536304";=".1672002";=".8346953";="";="";="";="";="";="";=".";=".8433594";="";=""
=""
