
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0147";="0.00378";="0.0146";="0.00377";="0.0147";="0.00382";="0.0149";="0.00387"
="";="(1.51)";="(1.43)";="(1.50)";="(1.42)";="(1.50)";="(1.42)";="(1.53)";="(1.44)"
="NGDP_RPCH";="-0.0279";="-0.00721";="-0.0280";="-0.00724";="-0.0249";="-0.00649";="-0.0268";="-0.00697"
="";="(-0.98)";="(-0.96)";="(-0.98)";="(-0.96)";="(-0.88)";="(-0.87)";="(-0.94)";="(-0.92)"
="ExtDebtPercGNI_Var";="0.00657";="0.00170";="0.00652";="0.00169";="0.00656";="0.00171";="0.00673";="0.00175"
="";="(1.33)";="(1.26)";="(1.29)";="(1.24)";="(1.24)";="(1.19)";="(1.37)";="(1.30)"
="BudgetBal_NGDP_Var";="-0.0000733*";="-0.0000189";="-0.0000756";="-0.0000196";="-0.0000730";="-0.0000190";="-0.0000612";="-0.0000159"
="";="(-1.66)";="(-1.57)";="(-1.62)";="(-1.54)";="(-1.51)";="(-1.45)";="(-1.23)";="(-1.20)"
="PCPIPCH";="-0.101**";="-0.0260*";="-0.0996**";="-0.0258*";="-0.102**";="-0.0264*";="-0.100**";="-0.0261*"
="";="(-2.10)";="(-1.91)";="(-2.07)";="(-1.89)";="(-2.04)";="(-1.87)";="(-2.05)";="(-1.88)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.535";="-0.111";="";="";="";="";="";=""
="";="(-0.73)";="(-0.92)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.741";="-0.141";="";="";="";=""
="";="";="";="(-1.22)";="(-1.61)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.898*";="-0.165**";="";=""
="";="";="";="";="";="(-1.89)";="(-2.26)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.251";="-0.0608"
="";="";="";="";="";="";="";="(-0.64)";="(-0.67)"
="Const";="-0.609**";="";="-0.588**";="";="-0.549*";="";="-0.595**";=""
="";="(-2.04)";="";="(-1.98)";="";="(-1.80)";="";="(-1.97)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.607*";="";="0.619*";="";="0.690**";="";="0.620*";=""
="";="(1.84)";="";="(1.86)";="";="(2.00)";="";="(1.87)";=""

="Observations";="665";="665";="665";="665";="665";="665";="665";="665"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
