
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0161";="0.00412";="0.0160";="0.00411";="0.0159";="0.00412";="0.0162";="0.00419"
="";="(1.60)";="(1.51)";="(1.59)";="(1.50)";="(1.57)";="(1.48)";="(1.61)";="(1.52)"
="NGDP_RPCH";="-0.0153";="-0.00392";="-0.0154";="-0.00396";="-0.0134";="-0.00347";="-0.0145";="-0.00375"
="";="(-0.51)";="(-0.50)";="(-0.51)";="(-0.51)";="(-0.45)";="(-0.44)";="(-0.48)";="(-0.48)"
="ExtDebtPercGNI_Var";="0.00667";="0.00171";="0.00664";="0.00171";="0.00666";="0.00172";="0.00678";="0.00175"
="";="(1.38)";="(1.30)";="(1.34)";="(1.28)";="(1.29)";="(1.24)";="(1.41)";="(1.33)"
="GGXWDG_NGDP_Var";="0.00715";="0.00183";="0.00715";="0.00184";="0.00665";="0.00172";="0.00692";="0.00179"
="";="(1.34)";="(1.29)";="(1.34)";="(1.29)";="(1.26)";="(1.22)";="(1.29)";="(1.25)"
="PCPIPCH";="-0.103**";="-0.0265*";="-0.102**";="-0.0263*";="-0.104**";="-0.0269*";="-0.103**";="-0.0265*"
="";="(-2.10)";="(-1.92)";="(-2.07)";="(-1.89)";="(-2.03)";="(-1.87)";="(-2.04)";="(-1.88)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.467";="-0.0988";="";="";="";="";="";=""
="";="(-0.61)";="(-0.74)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.682";="-0.132";="";="";="";=""
="";="";="";="(-1.06)";="(-1.39)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.848*";="-0.158**";="";=""
="";="";="";="";="";="(-1.73)";="(-2.11)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.234";="-0.0567"
="";="";="";="";="";="";="";="(-0.60)";="(-0.63)"
="Const";="-0.675**";="";="-0.654**";="";="-0.611**";="";="-0.659**";=""
="";="(-2.27)";="";="(-2.21)";="";="(-2.02)";="";="(-2.20)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.610*";="";="0.622*";="";="0.688**";="";="0.625*";=""
="";="(1.84)";="";="(1.86)";="";="(1.99)";="";="(1.87)";=""

="Observations";="665";="665";="665";="665";="665";="665";="665";="665"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
