
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0157*";="0.00405";="0.0156";="0.00403";="0.0157";="0.00408";="0.0159*";="0.00414"
="";="(1.65)";="(1.54)";="(1.63)";="(1.53)";="(1.62)";="(1.53)";="(1.66)";="(1.55)"
="NGDP_RPCH";="-0.0270";="-0.00697";="-0.0271";="-0.00702";="-0.0243";="-0.00632";="-0.0259";="-0.00674"
="";="(-0.94)";="(-0.92)";="(-0.95)";="(-0.92)";="(-0.85)";="(-0.84)";="(-0.91)";="(-0.89)"
="ExtDebtPercGNI_Var";="0.00681";="0.00176";="0.00677";="0.00175";="0.00680";="0.00177";="0.00692";="0.00180"
="";="(1.34)";="(1.28)";="(1.31)";="(1.25)";="(1.25)";="(1.21)";="(1.38)";="(1.31)"
="GGXWDN_NGDP_Var";="0.00122";="0.000315";="0.00122";="0.000315";="0.00114";="0.000297";="0.00114";="0.000297"
="";="(1.36)";="(1.33)";="(1.36)";="(1.33)";="(1.30)";="(1.27)";="(1.25)";="(1.23)"
="PCPIPCH";="-0.105**";="-0.0270*";="-0.104**";="-0.0268*";="-0.105**";="-0.0274*";="-0.104**";="-0.0271*"
="";="(-2.16)";="(-1.96)";="(-2.13)";="(-1.93)";="(-2.09)";="(-1.91)";="(-2.10)";="(-1.92)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.487";="-0.103";="";="";="";="";="";=""
="";="(-0.61)";="(-0.76)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.693";="-0.135";="";="";="";=""
="";="";="";="(-1.05)";="(-1.38)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.866*";="-0.162**";="";=""
="";="";="";="";="";="(-1.73)";="(-2.11)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.259";="-0.0627"
="";="";="";="";="";="";="";="(-0.66)";="(-0.69)"
="Const";="-0.603**";="";="-0.582*";="";="-0.543*";="";="-0.585*";=""
="";="(-2.00)";="";="(-1.94)";="";="(-1.77)";="";="(-1.93)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.620*";="";="0.631*";="";="0.700**";="";="0.638*";=""
="";="(1.90)";="";="(1.92)";="";="(2.05)";="";="(1.94)";=""

="Observations";="665";="665";="665";="665";="665";="665";="665";="665"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
