
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0111";="0.00298";="0.0110";="0.00297";="0.0110";="0.00300";="0.0112";="0.00303"
="";="(1.14)";="(1.11)";="(1.13)";="(1.10)";="(1.12)";="(1.09)";="(1.15)";="(1.11)"
="NGDP_RPCH";="-0.00286";="-0.000772";="-0.00290";="-0.000782";="0.000102";="0.0000278";="-0.00229";="-0.000622"
="";="(-0.10)";="(-0.10)";="(-0.10)";="(-0.10)";="(0.00)";="(0.00)";="(-0.08)";="(-0.08)"
="ExtDebtPercGNI_Var";="0.00551";="0.00149";="0.00552";="0.00149";="0.00548";="0.00149";="0.00550";="0.00149"
="";="(1.19)";="(1.14)";="(1.16)";="(1.12)";="(1.10)";="(1.07)";="(1.19)";="(1.14)"
="GGSB_NPGDP";="-0.0721*";="-0.0194*";="-0.0725*";="-0.0196*";="-0.0720*";="-0.0196*";="-0.0705*";="-0.0191"
="";="(-1.74)";="(-1.65)";="(-1.74)";="(-1.66)";="(-1.73)";="(-1.65)";="(-1.70)";="(-1.63)"
="PCPIPCH";="-0.0828*";="-0.0223";="-0.0807";="-0.0218";="-0.0811";="-0.0221";="-0.0834";="-0.0226"
="";="(-1.67)";="(-1.59)";="(-1.62)";="(-1.55)";="(-1.59)";="(-1.52)";="(-1.62)";="(-1.56)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.382";="-0.0893";="";="";="";="";="";=""
="";="(-0.47)";="(-0.54)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.623";="-0.133";="";="";="";=""
="";="";="";="(-0.94)";="(-1.19)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.813*";="-0.166**";="";=""
="";="";="";="";="";="(-1.68)";="(-2.03)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.148";="-0.0386"
="";="";="";="";="";="";="";="(-0.39)";="(-0.39)"
="Const";="-0.821***";="";="-0.800***";="";="-0.758**";="";="-0.812***";=""
="";="(-2.79)";="";="(-2.74)";="";="(-2.53)";="";="(-2.71)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.558*";="";="0.566*";="";="0.631*";="";="0.571*";=""
="";="(1.65)";="";="(1.65)";="";="(1.79)";="";="(1.68)";=""

="Observations";="635";="635";="635";="635";="635";="635";="635";="635"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
