
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00673";="-0.000914";="-0.00629";="-0.000851";="-0.00695";="-0.000948";="-0.00732";="-0.000999"
="";="(-0.79)";="(-0.78)";="(-0.76)";="(-0.75)";="(-0.85)";="(-0.83)";="(-0.86)";="(-0.84)"
="NGDP_RPCH";="-0.0345";="-0.00468";="-0.0366";="-0.00496";="-0.0331";="-0.00451";="-0.0300";="-0.00408"
="";="(-1.30)";="(-1.18)";="(-1.40)";="(-1.25)";="(-1.24)";="(-1.14)";="(-1.10)";="(-1.02)"
="ExtDebtPercGNI_Var";="-0.00620";="-0.000841";="-0.00663";="-0.000898";="-0.00637";="-0.000868";="-0.00636";="-0.000868"
="";="(-0.97)";="(-0.94)";="(-1.02)";="(-0.99)";="(-0.98)";="(-0.95)";="(-0.99)";="(-0.96)"
="BudgetBal_NGDP_Var";="-0.0000493";="-0.00000669";="-0.0000529";="-0.00000716";="-0.0000584";="-0.00000797";="-0.0000594";="-0.00000810"
="";="(-1.09)";="(-1.03)";="(-1.22)";="(-1.13)";="(-0.97)";="(-0.92)";="(-0.97)";="(-0.92)"
="PCPIPCH";="-0.0365";="-0.00495";="-0.0382";="-0.00517";="-0.0353";="-0.00481";="-0.0321";="-0.00437"
="";="(-1.02)";="(-0.96)";="(-1.06)";="(-0.99)";="(-0.95)";="(-0.90)";="(-0.86)";="(-0.82)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.478";="0.0836";="";="";="";="";="";=""
="";="(0.95)";="(0.75)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.476";="0.0823";="";="";="";=""
="";="";="";="(1.05)";="(0.82)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0760";="0.0108";="";=""
="";="";="";="";="";="(0.21)";="(0.20)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0923";="-0.0121"
="";="";="";="";="";="";="";="(-0.23)";="(-0.24)"
="Const";="-1.276***";="";="-1.277***";="";="-1.239***";="";="-1.224***";=""
="";="(-5.03)";="";="(-5.09)";="";="(-5.04)";="";="(-4.92)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.491*";="";="0.492";="";="0.471";="";="0.489";=""
="";="(1.65)";="";="(1.63)";="";="(1.51)";="";="(1.53)";=""

="Observations";="773";="773";="773";="773";="773";="773";="773";="773"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
