
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00657";="-0.000896";="-0.00636";="-0.000872";="-0.00692";="-0.000953";="-0.00724";="-0.000997"
="";="(-0.77)";="(-0.76)";="(-0.76)";="(-0.75)";="(-0.84)";="(-0.83)";="(-0.84)";="(-0.83)"
="NGDP_RPCH";="-0.0367";="-0.00500";="-0.0381";="-0.00522";="-0.0347";="-0.00478";="-0.0318";="-0.00438"
="";="(-1.38)";="(-1.24)";="(-1.46)";="(-1.30)";="(-1.31)";="(-1.19)";="(-1.17)";="(-1.08)"
="ExtDebtPercGNI_Var";="-0.00542";="-0.000739";="-0.00569";="-0.000779";="-0.00542";="-0.000746";="-0.00543";="-0.000748"
="";="(-0.83)";="(-0.82)";="(-0.86)";="(-0.84)";="(-0.81)";="(-0.80)";="(-0.82)";="(-0.80)"
="GGXWDN_NGDP_Var";="0.0000181***";="0.00000247**";="0.0000181***";="0.00000249**";="0.0000181***";="0.00000249**";="0.0000184***";="0.00000253**"
="";="(4.40)";="(2.41)";="(4.41)";="(2.42)";="(4.34)";="(2.41)";="(3.84)";="(2.31)"
="PCPIPCH";="-0.0379";="-0.00517";="-0.0388";="-0.00532";="-0.0361";="-0.00497";="-0.0330";="-0.00455"
="";="(-1.06)";="(-0.99)";="(-1.08)";="(-1.01)";="(-0.97)";="(-0.92)";="(-0.89)";="(-0.85)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.534";="0.0967";="";="";="";="";="";=""
="";="(1.06)";="(0.82)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.409";="0.0691";="";="";="";=""
="";="";="";="(0.85)";="(0.69)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0542";="0.00766";="";=""
="";="";="";="";="";="(0.15)";="(0.15)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.103";="-0.0136"
="";="";="";="";="";="";="";="(-0.25)";="(-0.26)"
="Const";="-1.267***";="";="-1.250***";="";="-1.219***";="";="-1.204***";=""
="";="(-4.98)";="";="(-5.03)";="";="(-5.01)";="";="(-4.88)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.470";="";="0.452";="";="0.440";="";="0.460";=""
="";="(1.61)";="";="(1.55)";="";="(1.45)";="";="(1.48)";=""

="Observations";="773";="773";="773";="773";="773";="773";="773";="773"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
