
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00868";="-0.00116";="-0.00845";="-0.00114";="-0.00898";="-0.00122";="-0.00929";="-0.00127"
="";="(-0.89)";="(-0.87)";="(-0.88)";="(-0.87)";="(-0.96)";="(-0.93)";="(-0.96)";="(-0.93)"
="NGDP_RPCH";="-0.0314";="-0.00420";="-0.0324";="-0.00435";="-0.0294";="-0.00400";="-0.0271";="-0.00369"
="";="(-0.87)";="(-0.82)";="(-0.92)";="(-0.86)";="(-0.83)";="(-0.78)";="(-0.75)";="(-0.72)"
="ExtDebtPercGNI_Var";="-0.00588";="-0.000786";="-0.00622";="-0.000836";="-0.00580";="-0.000788";="-0.00575";="-0.000783"
="";="(-0.76)";="(-0.74)";="(-0.78)";="(-0.77)";="(-0.73)";="(-0.72)";="(-0.73)";="(-0.72)"
="GGSB_NPGDP";="-0.0264";="-0.00353";="-0.0294";="-0.00395";="-0.0255";="-0.00346";="-0.0240";="-0.00327"
="";="(-0.45)";="(-0.45)";="(-0.51)";="(-0.50)";="(-0.44)";="(-0.44)";="(-0.42)";="(-0.42)"
="PCPIPCH";="-0.0259";="-0.00346";="-0.0269";="-0.00362";="-0.0239";="-0.00325";="-0.0210";="-0.00286"
="";="(-0.69)";="(-0.66)";="(-0.71)";="(-0.68)";="(-0.60)";="(-0.59)";="(-0.52)";="(-0.51)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.597";="0.109";="";="";="";="";="";=""
="";="(1.18)";="(0.88)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.468";="0.0796";="";="";="";=""
="";="";="";="(0.95)";="(0.76)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0775";="0.0109";="";=""
="";="";="";="";="";="(0.21)";="(0.20)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0569";="-0.00758"
="";="";="";="";="";="";="";="(-0.13)";="(-0.14)"
="Const";="-1.393***";="";="-1.383***";="";="-1.330***";="";="-1.313***";=""
="";="(-4.14)";="";="(-4.15)";="";="(-4.06)";="";="(-3.94)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.527*";="";="0.507*";="";="0.484";="";="0.495";=""
="";="(1.84)";="";="(1.77)";="";="(1.61)";="";="(1.59)";=""

="Observations";="710";="710";="710";="710";="710";="710";="710";="710"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
