
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0106*";="-0.00243*";="-0.0102*";="-0.00229*";="-0.0106*";="-0.00243*";="-0.0107*";="-0.00247*"
="";="(-1.81)";="(-1.73)";="(-1.75)";="(-1.69)";="(-1.81)";="(-1.72)";="(-1.82)";="(-1.73)"
="NGDP_RPCH";="0.000831";="0.000190";="-0.00209";="-0.000470";="0.000398";="0.0000909";="0.00240";="0.000551"
="";="(0.03)";="(0.03)";="(-0.07)";="(-0.07)";="(0.01)";="(0.01)";="(0.08)";="(0.08)"
="ExtDebtPercGNI_Var";="-0.0146**";="-0.00332*";="-0.0148**";="-0.00333*";="-0.0147**";="-0.00334*";="-0.0146**";="-0.00336*"
="";="(-2.09)";="(-1.94)";="(-2.08)";="(-1.95)";="(-2.06)";="(-1.92)";="(-2.08)";="(-1.93)"
="BudgetBal_NGDP_Var";="0.000107";="0.0000244";="0.000106";="0.0000238";="0.000108";="0.0000247";="0.000108";="0.0000249"
="";="(1.41)";="(1.36)";="(1.42)";="(1.38)";="(1.43)";="(1.38)";="(1.43)";="(1.38)"
="PCPIPCH";="-0.00728";="-0.00166";="-0.0104";="-0.00234";="-0.00742";="-0.00169";="-0.00598";="-0.00137"
="";="(-0.26)";="(-0.26)";="(-0.35)";="(-0.36)";="(-0.25)";="(-0.25)";="(-0.21)";="(-0.21)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0727";="0.0171";="";="";="";="";="";=""
="";="(0.18)";="(0.17)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.326";="0.0837";="";="";="";=""
="";="";="";="(0.69)";="(0.62)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0469";="0.0109";="";=""
="";="";="";="";="";="(0.09)";="(0.09)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0677";="-0.0152"
="";="";="";="";="";="";="";="(-0.19)";="(-0.20)"
="Const";="-0.962***";="";="-0.980***";="";="-0.960***";="";="-0.947***";=""
="";="(-3.85)";="";="(-3.92)";="";="(-3.81)";="";="(-3.77)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.528";="";="0.518";="";="0.528";="";="0.539";=""
="";="(1.50)";="";="(1.49)";="";="(1.49)";="";="(1.49)";=""

="Observations";="746";="746";="746";="746";="746";="746";="746";="746"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
