
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00883";="-0.00200";="-0.00824";="-0.00183";="-0.00884";="-0.00200";="-0.00906";="-0.00207"
="";="(-1.35)";="(-1.29)";="(-1.28)";="(-1.23)";="(-1.35)";="(-1.29)";="(-1.36)";="(-1.30)"
="NGDP_RPCH";="0.00868";="0.00197";="0.00625";="0.00139";="0.00823";="0.00186";="0.0104";="0.00237"
="";="(0.34)";="(0.34)";="(0.24)";="(0.24)";="(0.31)";="(0.31)";="(0.39)";="(0.39)"
="ExtDebtPercGNI_Var";="-0.0147**";="-0.00332*";="-0.0150**";="-0.00334*";="-0.0148**";="-0.00336*";="-0.0148**";="-0.00337*"
="";="(-2.06)";="(-1.89)";="(-2.06)";="(-1.90)";="(-2.04)";="(-1.88)";="(-2.06)";="(-1.88)"
="GGXWDG_NGDP_Var";="0.00261";="0.000590";="0.00298";="0.000665";="0.00265";="0.000599";="0.00249";="0.000570"
="";="(0.48)";="(0.49)";="(0.53)";="(0.54)";="(0.49)";="(0.49)";="(0.46)";="(0.46)"
="PCPIPCH";="-0.00656";="-0.00149";="-0.00959";="-0.00214";="-0.00667";="-0.00151";="-0.00477";="-0.00109"
="";="(-0.23)";="(-0.23)";="(-0.33)";="(-0.33)";="(-0.22)";="(-0.22)";="(-0.17)";="(-0.17)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.127";="0.0304";="";="";="";="";="";=""
="";="(0.33)";="(0.32)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.364";="0.0939";="";="";="";=""
="";="";="";="(0.77)";="(0.68)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0754";="0.0176";="";=""
="";="";="";="";="";="(0.14)";="(0.14)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0621";="-0.0139"
="";="";="";="";="";="";="";="(-0.18)";="(-0.18)"
="Const";="-1.018***";="";="-1.040***";="";="-1.015***";="";="-0.999***";=""
="";="(-3.85)";="";="(-3.90)";="";="(-3.80)";="";="(-3.75)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.550";="";="0.543";="";="0.552";="";="0.565";=""
="";="(1.57)";="";="(1.56)";="";="(1.56)";="";="(1.57)";=""

="Observations";="746";="746";="746";="746";="746";="746";="746";="746"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
