
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00945";="-0.00215";="-0.00904";="-0.00203";="-0.00941";="-0.00214";="-0.00960";="-0.00220"
="";="(-1.60)";="(-1.54)";="(-1.54)";="(-1.49)";="(-1.59)";="(-1.53)";="(-1.61)";="(-1.55)"
="NGDP_RPCH";="0.00668";="0.00152";="0.00364";="0.000816";="0.00591";="0.00134";="0.00881";="0.00202"
="";="(0.23)";="(0.23)";="(0.12)";="(0.12)";="(0.20)";="(0.20)";="(0.29)";="(0.29)"
="ExtDebtPercGNI_Var";="-0.0151**";="-0.00344*";="-0.0154**";="-0.00345*";="-0.0152**";="-0.00346*";="-0.0152**";="-0.00348*"
="";="(-2.10)";="(-1.94)";="(-2.09)";="(-1.95)";="(-2.07)";="(-1.93)";="(-2.09)";="(-1.93)"
="GGXWDN_NGDP_Var";="0.000347";="0.0000789";="0.000324";="0.0000726";="0.000349";="0.0000793";="0.000378";="0.0000867"
="";="(0.47)";="(0.47)";="(0.45)";="(0.44)";="(0.47)";="(0.47)";="(0.51)";="(0.50)"
="PCPIPCH";="-0.00622";="-0.00141";="-0.00917";="-0.00206";="-0.00670";="-0.00152";="-0.00457";="-0.00105"
="";="(-0.22)";="(-0.22)";="(-0.31)";="(-0.31)";="(-0.22)";="(-0.22)";="(-0.16)";="(-0.16)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0946";="0.0224";="";="";="";="";="";=""
="";="(0.24)";="(0.23)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.326";="0.0834";="";="";="";=""
="";="";="";="(0.68)";="(0.61)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0791";="0.0185";="";=""
="";="";="";="";="";="(0.15)";="(0.14)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0777";="-0.0173"
="";="";="";="";="";="";="";="(-0.22)";="(-0.22)"
="Const";="-0.995***";="";="-1.011***";="";="-0.994***";="";="-0.978***";=""
="";="(-3.91)";="";="(-3.97)";="";="(-3.87)";="";="(-3.83)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.567";="";="0.557";="";="0.566";="";="0.582";=""
="";="(1.60)";="";="(1.59)";="";="(1.58)";="";="(1.59)";=""

="Observations";="746";="746";="746";="746";="746";="746";="746";="746"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
