
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0140*";="-0.00304*";="-0.0133*";="-0.00285*";="-0.0137*";="-0.00298*";="-0.0140*";="-0.00304*"
="";="(-1.85)";="(-1.75)";="(-1.78)";="(-1.69)";="(-1.82)";="(-1.71)";="(-1.85)";="(-1.74)"
="NGDP_RPCH";="0.0139";="0.00302";="0.00913";="0.00196";="0.0104";="0.00226";="0.0113";="0.00245"
="";="(0.38)";="(0.38)";="(0.25)";="(0.25)";="(0.28)";="(0.28)";="(0.30)";="(0.30)"
="ExtDebtPercGNI_Var";="-0.0183**";="-0.00400**";="-0.0188**";="-0.00404**";="-0.0187**";="-0.00405**";="-0.0185**";="-0.00399**"
="";="(-2.31)";="(-2.07)";="(-2.32)";="(-2.11)";="(-2.32)";="(-2.08)";="(-2.29)";="(-2.05)"
="GGSB_NPGDP";="-0.0647";="-0.0141";="-0.0671";="-0.0144";="-0.0667";="-0.0145";="-0.0659";="-0.0142"
="";="(-1.26)";="(-1.21)";="(-1.29)";="(-1.25)";="(-1.28)";="(-1.24)";="(-1.27)";="(-1.23)"
="PCPIPCH";="-0.0101";="-0.00219";="-0.0148";="-0.00317";="-0.0125";="-0.00272";="-0.00992";="-0.00214"
="";="(-0.34)";="(-0.34)";="(-0.48)";="(-0.48)";="(-0.40)";="(-0.40)";="(-0.33)";="(-0.34)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.207";="0.0492";="";="";="";="";="";=""
="";="(0.49)";="(0.45)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.495";="0.129";="";="";="";=""
="";="";="";="(0.96)";="(0.82)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.237";="0.0563";="";=""
="";="";="";="";="";="(0.41)";="(0.38)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.192";="0.0442"
="";="";="";="";="";="";="";="(0.53)";="(0.51)"
="Const";="-1.132***";="";="-1.150***";="";="-1.135***";="";="-1.155***";=""
="";="(-3.96)";="";="(-4.00)";="";="(-3.92)";="";="(-3.97)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.416";="";="0.395";="";="0.402";="";="0.410";=""
="";="(1.00)";="";="(0.96)";="";="(0.95)";="";="(0.96)";=""

="Observations";="672";="672";="672";="672";="672";="672";="672";="672"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
