
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00463";="0.00179";="0.00534";="0.00206";="0.00474";="0.00183";="0.00559";="0.00214"
="";="(0.48)";="(0.49)";="(0.57)";="(0.57)";="(0.50)";="(0.50)";="(0.57)";="(0.57)"
="NGDP_RPCH";="-0.00816";="-0.00316";="-0.0141";="-0.00544";="-0.0128";="-0.00495";="-0.00100";="-0.000384"
="";="(-0.29)";="(-0.29)";="(-0.47)";="(-0.47)";="(-0.43)";="(-0.43)";="(-0.04)";="(-0.04)"
="ExtDebtPercGNI_Var";="0.00218";="0.000844";="0.00232";="0.000894";="0.00198";="0.000766";="0.00310";="0.00119"
="";="(0.45)";="(0.45)";="(0.48)";="(0.48)";="(0.41)";="(0.41)";="(0.62)";="(0.62)"
="GGXWDN_NGDP_Var";="-0.00290";="-0.00112";="-0.00271";="-0.00105";="-0.00267";="-0.00103";="-0.00404";="-0.00155"
="";="(-0.62)";="(-0.62)";="(-0.58)";="(-0.58)";="(-0.56)";="(-0.56)";="(-0.85)";="(-0.85)"
="PCPIPCH";="-0.0147***";="-0.00571***";="-0.0144***";="-0.00557***";="-0.0144***";="-0.00555***";="-0.0171***";="-0.00657***"
="";="(-2.91)";="(-3.00)";="(-2.77)";="(-2.86)";="(-2.85)";="(-2.97)";="(-3.85)";="(-4.00)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0433";="-0.0168";="";="";="";="";="";=""
="";="(-0.14)";="(-0.14)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.156";="0.0604";="";="";="";=""
="";="";="";="(0.47)";="(0.47)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.156";="0.0604";="";=""
="";="";="";="";="";="(0.47)";="(0.47)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.632";="-0.228"
="";="";="";="";="";="";="";="(-1.12)";="(-1.28)"
="Const";="0.222";="";="0.113";="";="0.0871";="";="0.755";=""
="";="(0.94)";="";="(0.42)";="";="(0.28)";="";="(1.40)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.765";="";="-0.823";="";="-0.774";="";="-0.851";=""
="";="(-1.08)";="";="(-1.12)";="";="(-1.09)";="";="(-1.25)";=""

="Observations";="296";="296";="296";="296";="296";="296";="296";="296"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
