
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00594";="-0.00215";="-0.00571";="-0.00206";="-0.00532";="-0.00194";="-0.00486";="-0.00174"
="";="(-0.82)";="(-0.82)";="(-0.79)";="(-0.79)";="(-0.77)";="(-0.77)";="(-0.70)";="(-0.70)"
="NGDP_RPCH";="-0.0484**";="-0.0175**";="-0.0475**";="-0.0171**";="-0.0514**";="-0.0187**";="-0.0476**";="-0.0170**"
="";="(-2.25)";="(-2.30)";="(-2.16)";="(-2.21)";="(-2.36)";="(-2.42)";="(-2.10)";="(-2.14)"
="ExtDebtPercGNI_Var";="-0.00313";="-0.00113";="-0.00334";="-0.00121";="-0.00293";="-0.00107";="-0.00272";="-0.000972"
="";="(-1.22)";="(-1.23)";="(-1.31)";="(-1.33)";="(-1.20)";="(-1.20)";="(-1.12)";="(-1.12)"
="BudgetBal_NGDP_Var";="-0.0000560";="-0.0000202";="-0.0000478";="-0.0000172";="-0.0000525";="-0.0000191";="-0.0000549";="-0.0000196"
="";="(-0.80)";="(-0.80)";="(-0.69)";="(-0.68)";="(-0.80)";="(-0.79)";="(-0.84)";="(-0.84)"
="PCPIPCH";="-0.000452";="-0.000163";="-0.000489";="-0.000176";="-0.000482";="-0.000176";="-0.000689";="-0.000246"
="";="(-0.71)";="(-0.71)";="(-0.74)";="(-0.74)";="(-0.77)";="(-0.77)";="(-0.59)";="(-0.59)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.356*";="-0.132*";="";="";="";="";="";=""
="";="(-1.76)";="(-1.75)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.391**";="-0.146**";="";="";="";=""
="";="";="";="(-1.98)";="(-1.96)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.215";="-0.0804";="";=""
="";="";="";="";="";="(-0.93)";="(-0.92)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.705**";="-0.268**"
="";="";="";="";="";="";="";="(-2.27)";="(-2.32)"
="Const";="0.107";="";="0.152";="";="0.0724";="";="0.510*";=""
="";="(0.55)";="";="(0.75)";="";="(0.32)";="";="(1.68)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.546";="";="-0.532";="";="-0.568";="";="-0.669*";=""
="";="(-1.50)";="";="(-1.47)";="";="(-1.56)";="";="(-1.75)";=""

="Observations";="435";="435";="435";="435";="435";="435";="435";="435"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
