
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00717";="-0.00267";="-0.00716";="-0.00267";="-0.00696";="-0.00258";="-0.00630";="-0.00225"
="";="(-0.82)";="(-0.82)";="(-0.82)";="(-0.83)";="(-0.81)";="(-0.82)";="(-0.74)";="(-0.74)"
="NGDP_RPCH";="-0.0435**";="-0.0162**";="-0.0433**";="-0.0161**";="-0.0407**";="-0.0151**";="-0.0334";="-0.0119"
="";="(-2.08)";="(-2.12)";="(-2.08)";="(-2.12)";="(-2.08)";="(-2.13)";="(-1.63)";="(-1.64)"
="ExtDebtPercGNI_Var";="-0.00408";="-0.00152";="-0.00419";="-0.00156";="-0.00366";="-0.00136";="-0.00260";="-0.000930"
="";="(-0.84)";="(-0.85)";="(-0.86)";="(-0.87)";="(-0.77)";="(-0.78)";="(-0.58)";="(-0.58)"
="GGSB_NPGDP";="-0.00304";="-0.00113";="-0.00324";="-0.00121";="-0.000441";="-0.000164";="0.00192";="0.000686"
="";="(-0.12)";="(-0.12)";="(-0.12)";="(-0.12)";="(-0.02)";="(-0.02)";="(0.07)";="(0.07)"
="PCPIPCH";="-0.000426";="-0.000159";="-0.000434";="-0.000162";="-0.000466";="-0.000173";="-0.000654";="-0.000233"
="";="(-0.78)";="(-0.78)";="(-0.81)";="(-0.81)";="(-0.82)";="(-0.82)";="(-0.72)";="(-0.72)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.200";="-0.0748";="";="";="";="";="";=""
="";="(-0.78)";="(-0.78)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.137";="-0.0515";="";="";="";=""
="";="";="";="(-0.59)";="(-0.59)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.257";="-0.0978";="";=""
="";="";="";="";="";="(-1.18)";="(-1.16)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.818**";="-0.312**"
="";="";="";="";="";="";="";="(-2.34)";="(-2.46)"
="Const";="0.0404";="";="0.0152";="";="0.115";="";="0.585";=""
="";="(0.16)";="";="(0.06)";="";="(0.40)";="";="(1.60)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.640";="";="-0.638";="";="-0.694";="";="-0.949*";=""
="";="(-1.28)";="";="(-1.28)";="";="(-1.35)";="";="(-1.67)";=""

="Observations";="271";="271";="271";="271";="271";="271";="271";="271"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
