
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0138*";="-0.00511*";="-0.0138*";="-0.00511**";="-0.0140*";="-0.00520**";="-0.0143**";="-0.00525**"
="";="(-1.90)";="(-1.94)";="(-1.92)";="(-1.97)";="(-1.92)";="(-1.97)";="(-1.96)";="(-2.00)"
="NGDP_RPCH";="-0.00243";="-0.000898";="-0.000955";="-0.000352";="-0.00452";="-0.00167";="-0.0108";="-0.00397"
="";="(-0.12)";="(-0.12)";="(-0.04)";="(-0.04)";="(-0.22)";="(-0.22)";="(-0.53)";="(-0.53)"
="ExtDebtPercGNI_Var";="0.00183";="0.000677";="0.00178";="0.000655";="0.00174";="0.000644";="0.00139";="0.000513"
="";="(0.41)";="(0.41)";="(0.40)";="(0.40)";="(0.38)";="(0.38)";="(0.31)";="(0.31)"
="BudgetBal_NGDP_Var";="0.000231";="0.0000855";="0.000241";="0.0000890";="0.000232";="0.0000859";="0.000237";="0.0000872"
="";="(1.48)";="(1.47)";="(1.54)";="(1.54)";="(1.47)";="(1.46)";="(1.49)";="(1.48)"
="PCPIPCH";="-0.000752";="-0.000278";="-0.000789";="-0.000291";="-0.000737";="-0.000273";="-0.000662";="-0.000244"
="";="(-0.60)";="(-0.59)";="(-0.55)";="(-0.55)";="(-0.63)";="(-0.63)";="(-0.72)";="(-0.72)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.111";="-0.0412";="";="";="";="";="";=""
="";="(-0.62)";="(-0.62)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.206";="-0.0768";="";="";="";=""
="";="";="";="(-1.02)";="(-1.02)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0526";="0.0194";="";=""
="";="";="";="";="";="(0.20)";="(0.20)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.451";="0.155"
="";="";="";="";="";="";="";="(1.14)";="(1.24)"
="Const";="-0.164";="";="-0.0951";="";="-0.258";="";="-0.588";=""
="";="(-0.84)";="";="(-0.47)";="";="(-0.95)";="";="(-1.53)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.380";="";="-0.378";="";="-0.385";="";="-0.383";=""
="";="(-1.02)";="";="(-1.00)";="";="(-1.03)";="";="(-1.04)";=""

="Observations";="370";="370";="370";="370";="370";="370";="370";="370"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
