
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00801";="-0.00295";="-0.00808";="-0.00297";="-0.00810";="-0.00298";="-0.00819";="-0.00299"
="";="(-1.05)";="(-1.06)";="(-1.06)";="(-1.07)";="(-1.04)";="(-1.05)";="(-1.05)";="(-1.06)"
="NGDP_RPCH";="0.0110";="0.00404";="0.0118";="0.00435";="0.00936";="0.00344";="0.00373";="0.00136"
="";="(0.45)";="(0.45)";="(0.47)";="(0.48)";="(0.39)";="(0.39)";="(0.16)";="(0.16)"
="ExtDebtPercGNI_Var";="0.00216";="0.000793";="0.00211";="0.000775";="0.00204";="0.000751";="0.00165";="0.000603"
="";="(0.49)";="(0.49)";="(0.48)";="(0.48)";="(0.46)";="(0.46)";="(0.37)";="(0.37)"
="GGXWDG_NGDP_Var";="0.0119*";="0.00436*";="0.0116*";="0.00427*";="0.0123*";="0.00453*";="0.0131*";="0.00477*"
="";="(1.70)";="(1.72)";="(1.70)";="(1.71)";="(1.73)";="(1.76)";="(1.79)";="(1.83)"
="PCPIPCH";="-0.000611";="-0.000225";="-0.000630";="-0.000232";="-0.000599";="-0.000220";="-0.000549";="-0.000200"
="";="(-0.70)";="(-0.70)";="(-0.68)";="(-0.68)";="(-0.71)";="(-0.72)";="(-0.75)";="(-0.75)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0928";="-0.0342";="";="";="";="";="";=""
="";="(-0.50)";="(-0.50)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.170";="-0.0630";="";="";="";=""
="";="";="";="(-0.84)";="(-0.84)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0725";="0.0265";="";=""
="";="";="";="";="";="(0.26)";="(0.26)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.482";="0.163"
="";="";="";="";="";="";="";="(1.13)";="(1.25)"
="Const";="-0.291";="";="-0.233";="";="-0.395";="";="-0.741*";=""
="";="(-1.32)";="";="(-1.06)";="";="(-1.30)";="";="(-1.68)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.340";="";="-0.343";="";="-0.336";="";="-0.321";=""
="";="(-0.90)";="";="(-0.89)";="";="(-0.90)";="";="(-0.86)";=""

="Observations";="370";="370";="370";="370";="370";="370";="370";="370"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
