
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0179**";="-0.00632**";="-0.0181**";="-0.00639**";="-0.0181**";="-0.00640**";="-0.0187**";="-0.00659**"
="";="(-2.25)";="(-2.31)";="(-2.24)";="(-2.29)";="(-2.25)";="(-2.30)";="(-2.34)";="(-2.38)"
="NGDP_RPCH";="-0.0147";="-0.00518";="-0.0172";="-0.00610";="-0.0191";="-0.00674";="-0.0221";="-0.00780"
="";="(-0.65)";="(-0.65)";="(-0.77)";="(-0.77)";="(-0.87)";="(-0.87)";="(-1.01)";="(-1.01)"
="ExtDebtPercGNI_Var";="-0.00844";="-0.00297";="-0.00855";="-0.00302";="-0.00867";="-0.00306";="-0.00920";="-0.00324*"
="";="(-1.51)";="(-1.54)";="(-1.51)";="(-1.53)";="(-1.50)";="(-1.52)";="(-1.64)";="(-1.66)"
="GGSB_NPGDP";="-0.0220";="-0.00775";="-0.0247";="-0.00875";="-0.0268";="-0.00946";="-0.0272";="-0.00959"
="";="(-0.63)";="(-0.64)";="(-0.70)";="(-0.72)";="(-0.76)";="(-0.78)";="(-0.80)";="(-0.83)"
="PCPIPCH";="-0.000474";="-0.000167";="-0.000471";="-0.000166";="-0.000456";="-0.000161";="-0.000446";="-0.000157"
="";="(-0.72)";="(-0.72)";="(-0.74)";="(-0.74)";="(-0.72)";="(-0.72)";="(-0.73)";="(-0.73)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.223";="-0.0796";="";="";="";="";="";=""
="";="(-0.90)";="(-0.89)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.0350";="-0.0124";="";="";="";=""
="";="";="";="(-0.14)";="(-0.14)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0602";="0.0211";="";=""
="";="";="";="";="";="(0.20)";="(0.20)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.253";="0.0855"
="";="";="";="";="";="";="";="(0.60)";="(0.63)"
="Const";="-0.209";="";="-0.311";="";="-0.380";="";="-0.534";=""
="";="(-0.66)";="";="(-0.96)";="";="(-1.03)";="";="(-1.24)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.723";="";="-0.683";="";="-0.658";="";="-0.630";=""
="";="(-1.23)";="";="(-1.19)";="";="(-1.13)";="";="(-1.11)";=""

="Observations";="233";="233";="233";="233";="233";="233";="233";="233"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
