="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0026629";="-.0164876";=".0017974";="-.0093952";="-.0149878";="0";="-.0482482";="";="";="";="";="";="";=".2757586";="-.8274859"
="t";=".2759679";="-.6117503";=".3737152";="-1.150642";="-2.994574";=".";="-.1592052";="";="";="";="";="";="";="1.14303";="-1.163175"
="p";=".7825727";=".540703";=".7086162";=".2498797";=".0027483";=".";=".8735072";="";="";="";="";="";="";=".2530262";=".2447584"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".001028";="-.0063648";=".0006939";="-.0036269";="-.0057858";="0";="-.0186176";="";="";="";="";="";="";="";=""
="t";=".276197";="-.6116366";=".3740622";="-1.156612";="-3.06978";=".";="-.1592847";="";="";="";="";="";="";="";=""
="p";=".7823968";=".5407782";=".7083581";=".2474308";=".0021422";=".";=".8734446";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".003391";="-.0220131";=".0019277";="-.0090384";="-.0146231";="";="";="0";=".1464223";="";="";="";="";=".1678991";="-.8891267"
="t";=".3532542";="-.7806248";=".402566";="-1.087383";="-2.833265";="";="";=".";=".4355154";="";="";="";="";=".601138";="-1.20514"
="p";=".7238979";=".4350232";=".6872675";=".2768677";=".0046075";="";="";=".";=".6631884";="";="";="";="";=".5477481";=".2281493"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0013055";="-.008475";=".0007422";="-.0034798";="-.0056299";="";="";="0";=".0566112";="";="";="";="";="";=""
="t";=".3540111";="-.7810504";=".4031353";="-1.086262";="-2.918817";="";="";=".";=".4353967";="";="";="";="";="";=""
="p";=".7233306";=".4347729";=".6868487";=".2773633";=".0035136";="";="";=".";=".6632745";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0028746";="-.0204013";=".001644";="-.0089195";="-.014595";="";="";="";="";="0";=".1325621";="";="";=".1525218";="-.8396242"
="t";=".304258";="-.735051";=".3459037";="-1.043431";="-2.94768";="";="";="";="";=".";=".3947674";="";="";=".4630079";="-1.182938"
="p";=".7609314";=".4623084";=".7294151";=".2967486";=".0032017";="";="";="";="";=".";=".6930145";="";="";=".6433587";=".2368338"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0011076";="-.007861";=".0006335";="-.0034368";="-.0056237";="";="";="";="";="0";=".0513168";="";="";="";=""
="t";=".3045757";="-.7347676";=".3461829";="-1.043018";="-3.051625";="";="";="";="";=".";=".3944451";="";="";="";=""
="p";=".7606893";=".4624811";=".7292053";=".2969399";=".0022761";="";="";="";="";=".";=".6932524";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0034525";="-.0100323";=".0027805";="-.011632";="-.0177812";="";="";="";="";="";="";="0";="-.6796291";=".8567347";="-.9061204"
="t";=".3497426";="-.3911183";=".5581755";="-1.392234";="-3.962738";="";="";="";="";="";="";=".";="-1.175332";="1.505041";="-1.339863"
="p";=".7265319";=".6957098";=".5767245";=".1638515";=".0000741";="";="";="";="";="";="";=".";=".2398618";=".1323136";=".1802897"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0013146";="-.00382";=".0010587";="-.0044291";="-.0067705";="";="";="";="";="";="";="0";="-.2415046";="";=""
="t";=".3505276";="-.3909854";=".5588634";="-1.417701";="-4.137013";="";="";="";="";="";="";=".";="-1.366177";="";=""
="p";=".7259428";=".695808";=".5762549";=".1562781";=".0000352";="";="";="";="";="";="";=".";=".1718833";="";=""
=""
