="";="foodw_mfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0046305";="-.0081623";=".0021792";="-.0028995";="-.0147444";="0";="-.043275";="";="";="";="";="";="";=".2223351";="-.7653461"
="t";=".4849393";="-.2855903";=".4485965";="-.6209152";="-2.911624";=".";="-.1431465";="";="";="";="";="";="";=".940366";="-1.078136"
="p";=".6277194";=".7751919";=".6537228";=".5346554";=".0035955";=".";=".8861745";="";="";="";="";="";="";=".3470299";=".2809732"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0017944";="-.003163";=".0008445";="-.0011236";="-.0057137";="0";="-.0167632";="";="";="";="";="";="";="";=""
="t";=".4860484";="-.2855691";=".4492323";="-.6199072";="-2.997111";=".";="-.143173";="";="";="";="";="";="";="";=""
="p";=".6269328";=".7752082";=".6532641";=".5353189";=".0027255";=".";=".8861536";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0053414";="-.0140841";=".0023158";="-.0027127";="-.0144074";="";="";="0";=".1556291";="";="";="";="";=".1134082";="-.8225267"
="t";=".5660175";="-.4661285";=".4788628";="-.5809995";="-2.767062";="";="";=".";=".4671742";="";="";="";="";=".4233536";="-1.115916"
="p";=".5713819";=".6411236";=".6320362";=".5612408";=".0056564";="";="";=".";=".6403753";="";="";="";="";=".6720373";=".264458"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0020632";="-.0054402";=".0008945";="-.0010478";="-.005565";="";="";="0";=".0603836";="";="";="";="";="";=""
="t";=".5683096";="-.4666651";=".4797137";="-.5790168";="-2.861274";="";="";=".";=".4677433";="";="";="";="";="";=""
="p";=".5698248";=".6407395";=".631431";=".5625778";=".0042194";="";="";=".";=".6399682";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".004741";="-.0128029";=".0019819";="-.0026661";="-.0143535";="";="";="";="";="0";=".1555255";="";="";=".0871308";="-.7736973"
="t";=".5033348";="-.4348095";=".4106871";="-.55708";="-2.853851";="";="";="";="";=".";=".4692809";="";="";=".2778717";="-1.094847"
="p";=".6147289";=".6637007";=".681302";=".5774728";=".0043193";="";="";="";="";=".";=".6388689";="";="";=".7811108";=".2735839"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0018321";="-.0049477";=".0007659";="-.0010303";="-.0055469";="";="";="";="";="0";=".06041";="";="";="";=""
="t";=".5043267";="-.434978";=".4110297";="-.5553048";="-2.967756";="";="";="";="";=".";=".4700214";="";="";="";=""
="p";=".6140318";=".6635784";=".6810508";=".5786862";=".0029998";="";="";="";="";=".";=".6383397";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0055915";="-.0010014";=".0031025";="-.0040395";="-.0171456";="";="";="";="";="";="";="0";="-.6324823";=".755392";="-.8510974"
="t";=".5710443";="-.0366602";=".6163637";="-.8455166";="-3.848475";="";="";="";="";="";="";=".";="-1.124359";="1.397494";="-1.25244"
="p";=".5679696";=".970756";=".5376545";=".3978224";=".0001189";="";="";="";="";="";="";=".";=".2608608";=".162265";=".2104095"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0021442";="-.000384";=".0011897";="-.001549";="-.0065749";="";="";="";="";="";="";="0";="-.2283089";="";=""
="t";=".5736691";="-.0366573";=".6175882";="-.8480058";="-3.996576";="";="";="";="";="";="";=".";="-1.275293";="";=""
="p";=".5661917";=".9707583";=".5368468";=".3964347";=".0000643";="";="";="";="";="";="";=".";=".2022055";="";=""
=""
