="";="foodw_mfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0120569";="-.0054791";=".0093339";=".023411";="-.0173522";="0";="-.4366382";="";="";="";="";="";="";=".5577761";="-.4755823"
="t";="1.190389";="-.1768163";="1.850029";=".6148619";="-3.630126";=".";="-1.331502";="";="";="";="";="";="";="1.929554";="-.6623692"
="p";=".2338935";=".8596527";=".0643093";=".5386459";=".0002833";=".";=".1830238";="";="";="";="";="";="";=".0536621";=".5077347"
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0044761";="-.0020341";=".0034652";=".0086912";="-.0064419";="0";="-.1619942";="";="";="";="";="";="";="";=""
="t";="1.21464";="-.1767397";="1.909203";=".6186638";="-3.703456";=".";="-1.361679";="";="";="";="";="";="";="";=""
="p";=".2245035";=".8597128";=".0562358";=".5361379";=".0002127";=".";=".1732992";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0128916";="-.0084524";=".0095333";=".0194969";="-.0167011";="";="";="0";="-.1933199";="";="";="";="";=".4240309";="-.5360182"
="t";="1.35648";="-.2568524";="1.927634";=".502483";="-3.397832";="";="";=".";="-.5714663";="";="";="";="";="1.443832";="-.6998534"
="p";=".1749465";=".7972927";=".0539007";=".6153278";=".0006792";="";="";=".";=".5676836";="";="";="";="";=".1487862";=".4840189"
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0048581";="-.0031852";=".0035925";=".0073472";="-.0062937";="";="";="0";="-.0723471";="";="";="";="";="";=""
="t";="1.389794";="-.2567073";="2.000587";=".5058652";="-3.509811";="";="";=".";="-.5769909";="";="";="";="";="";=""
="p";=".1645914";=".7974047";=".0454369";=".6129512";=".0004484";="";="";=".";=".5639456";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0134759";="-.0124967";=".0099324";=".0137707";="-.0163725";="";="";="";="";="0";="-.0257017";="";="";=".3128822";="-.5565521"
="t";="1.44469";="-.3733679";="1.91642";=".3363895";="-3.315887";="";="";="";="";=".";="-.0687856";="";="";=".8856363";="-.712375"
="p";=".1485449";=".7088746";=".0553117";=".7365772";=".0009135";="";="";="";="";=".";=".9451603";="";="";=".3758136";=".4762326"
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".005087";="-.0047174";=".0037494";=".0051983";="-.0061805";="";="";="";="";="0";="-.009685";="";="";="";=""
="t";="1.47982";="-.3734035";="1.97624";=".3379539";="-3.469353";="";="";="";="";=".";="-.0688994";="";="";="";=""
="p";=".1389212";=".7088482";=".0481276";=".735398";=".0005217";="";="";="";="";=".";=".9450697";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0156817";="-.0026256";=".0118545";=".0163154";="-.0191605";="";="";="";="";="";="";="0";="-.7173059";=".8968597";="-.5928894"
="t";="1.565296";="-.0856297";="2.28824";=".3988798";="-4.062311";="";="";="";="";="";="";=".";="-1.200973";="1.575568";="-.7898281"
="p";=".1175135";=".9317608";=".0221235";=".6899818";=".0000486";="";="";="";="";="";="";=".";=".2297618";=".1151254";=".4296282"
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0058371";="-.0009773";=".0044126";=".006073";="-.007132";="";="";="";="";="";="";="0";="-.2445225";="";=""
="t";="1.636633";="-.0856105";="2.412744";=".4015185";="-4.35922";="";="";="";="";="";="";=".";="-1.424345";="";=""
="p";=".1017072";=".9317761";=".0158329";=".6880384";=".0000131";="";="";="";="";="";="";=".";=".1543466";="";=""
=""
