="";="foodw_sfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0069887";="-.0502723";="-.0030722";="-.0013845";="-.0004699";="0";="-.3495052";="";="";="";="";="";="";=".1229796";="-.5614106"
="t";="-1.008149";="-2.179391";="-1.203371";="-.2953272";="-.7109021";=".";="-1.714496";="";="";="";="";="";="";=".6242515";="-1.532427"
="p";=".3133832";=".0293026";=".2288328";=".7677439";=".4771449";=".";=".0864377";="";="";="";="";="";="";=".5324624";=".1254171"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0025278";="-.0181833";="-.0011112";="-.0005008";="-.00017";="0";="-.1293031";="";="";="";="";="";="";="";=""
="t";="-1.012543";="-2.228342";="-1.216195";="-.2954935";="-.7089029";=".";="-1.70871";="";="";="";="";="";="";="";=""
="p";=".3112783";=".0258577";=".2239108";=".7676169";=".4783847";=".";=".0875047";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0068306";="-.0493027";="-.0032939";="-.0015138";="-.0005073";="";="";="0";="-.3924101";="";="";="";="";=".1729474";="-.5466244"
="t";="-.9830306";="-2.110458";="-1.297309";="-.3273087";="-.7321672";="";="";=".";="-1.985397";="";="";="";="";=".835312";="-1.501775"
="p";=".3255924";=".0348189";=".1945248";=".7434344";=".4640665";="";="";=".";=".0471003";="";="";="";="";=".4035421";=".1331553"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024651";="-.0177929";="-.0011887";="-.0005463";="-.0001831";="";="";="0";="-.1464279";="";="";="";="";="";=""
="t";="-.988559";="-2.155431";="-1.312892";="-.3277091";="-.7306026";="";="";=".";="-1.973469";="";="";="";="";="";=""
="p";=".322879";=".0311281";=".1892193";=".7431316";=".4650219";="";="";=".";=".0484421";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0065897";="-.0534761";="-.0028658";="-.0017145";="-.0005012";="";="";="";="";="0";="-.2168712";="";="";=".09628";="-.5845273"
="t";="-.9893612";="-2.324624";="-1.17312";="-.3620127";="-.7643682";="";="";="";="";=".";="-.9378845";="";="";=".4103052";="-1.598012"
="p";=".3224864";=".0200921";=".2407475";=".7173425";=".4446479";="";="";="";="";=".";=".3483038";="";="";=".6815821";=".1100404"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024049";="-.0195159";="-.0010459";="-.0006257";="-.0001829";="";="";="";="";="0";="-.0809608";="";="";="";=""
="t";="-.9914061";="-2.383378";="-1.182031";="-.3625188";="-.7652895";="";="";="";="";=".";="-.926467";="";="";="";=""
="p";=".3214873";=".0171546";=".2371935";=".7169644";=".4440992";="";="";="";="";=".";=".3542033";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0063127";="-.04992";="-.0026485";="-.0019975";="-.0007278";="";="";="";="";="";="";="0";="-.70577";=".5365086";="-.6866709"
="t";="-.9294341";="-2.086292";="-1.088232";="-.4260838";="-.5492254";="";="";="";="";="";="";=".";="-2.282548";="1.744409";="-1.783341"
="p";=".3526641";=".0369522";=".2764927";=".6700468";=".5828508";="";="";="";="";="";="";=".";=".022457";=".0810879";=".0745308"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0022537";="-.017822";="-.0009456";="-.0007131";="-.0002598";="";="";="";="";="";="";="0";="-.2684851";="";=""
="t";="-.9306289";="-2.129184";="-1.097369";="-.4270034";="-.5491127";="";="";="";="";="";="";=".";="-2.334899";="";=""
="p";=".3520456";=".0332391";=".27248";=".6693769";=".5829281";="";="";="";="";="";="";=".";=".0195487";="";=""
=""
