="";="foodw_smbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0138197";="-.002429";=".0018317";=".0002311";="-.0007523";="0";="-.1110041";="";="";="";="";="";="";="-.1639669";="-.3799076"
="t";="-1.901108";="-.1181315";=".4112477";="1.477403";="-.5955828";=".";="-.6190756";="";="";="";="";="";="";="-.8356628";="-1.015571"
="p";=".0572878";=".9059635";=".6808909";=".1395676";=".5514539";=".";=".5358666";="";="";="";="";="";="";=".4033446";=".309834"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0051106";="-.0008983";=".0006774";=".0000855";="-.0002782";="0";="-.0411834";="";="";="";="";="";="";="";=""
="t";="-1.944671";="-.1180738";=".4101639";="1.471277";="-.5943116";=".";="-.6197683";="";="";="";="";="";="";="";=""
="p";=".0518145";=".9060092";=".6816857";=".1412163";=".5523037";=".";=".5354103";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0138418";="-.0009547";=".0017752";=".0002412";="-.0007892";="";="";="0";="-.2056499";="";="";="";="";="-.0951315";="-.3783749"
="t";="-1.920228";="-.0448943";=".3970767";="1.539839";="-.5501634";="";="";=".";="-1.020553";="";="";="";="";="-.4731267";="-1.001752"
="p";=".0548291";=".9641915";=".6913109";=".1235997";=".5822073";="";="";=".";=".307466";="";="";="";="";=".6361228";=".3164635"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0051083";="-.0003523";=".0006551";=".000089";="-.0002912";="";="";="0";="-.076789";="";="";="";="";="";=""
="t";="-1.967276";="-.0448821";=".3961377";="1.538865";="-.5492384";="";="";=".";="-1.019769";="";="";="";="";="";=""
="p";=".0491514";=".9642013";=".6920035";=".1238372";=".5828418";="";="";=".";=".3078379";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0140362";="-.0045236";=".0017406";=".0002321";="-.0007371";="";="";="";="";="0";=".0526067";="";="";="-.2584504";="-.3845086"
="t";="-1.922019";="-.2197747";=".3834127";="1.465337";="-.6273946";="";="";="";="";=".";=".1968074";="";="";="-.946189";="-1.034001"
="p";=".0546033";=".8260467";=".7014138";=".1428289";=".5304006";="";="";="";="";=".";=".8439783";="";="";=".3440522";=".3011356"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.005196";="-.0016746";=".0006443";=".0000859";="-.0002729";="";="";="";="";="0";=".0193822";="";="";="";=""
="t";="-1.968109";="-.2195836";=".3826818";="1.456479";="-.6261008";="";="";="";="";=".";=".1978342";="";="";="";=""
="p";=".0490555";=".8261954";=".7019557";=".1452601";=".5312488";="";="";="";="";=".";=".8431748";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0142546";="-.0107729";=".0013938";=".0002368";="-.0006622";="";="";="";="";="";="";="0";=".4512055";="-.588181";="-.3827678"
="t";="-1.960229";="-.5343916";=".3070611";="1.486476";="-.7191582";="";="";="";="";="";="";=".";="1.137177";="-1.533049";="-1.041543"
="p";=".049969";=".5930706";=".7587969";=".1371533";=".4720435";="";="";="";="";="";="";=".";=".2554643";=".1252638";=".2976236"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0052468";="-.0039653";=".000513";=".0000872";="-.0002437";="";="";="";="";="";="";="0";=".155482";="";=""
="t";="-2.001755";="-.5327388";=".3070015";="1.477408";="-.7174898";="";="";="";="";="";="";=".";="1.238131";="";=""
="p";=".0453111";=".5942144";=".7588422";=".1395663";=".4730719";="";="";="";="";="";="";=".";=".2156673";="";=""
=""
