="";="foodw_smgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0080114";=".0109777";=".0021562";=".0118572";="-.0006112";="0";="-.0928332";="";="";="";="";="";="";="-.2908817";="-.3399786"
="t";="-1.049681";=".4485384";=".4929777";="1.698918";="-.7021638";=".";="-.5020186";="";="";="";="";="";="";="-1.319867";="-.8952567"
="p";=".2938646";=".6537647";=".6220283";=".0893346";=".482577";=".";=".6156544";="";="";="";="";="";="";=".1868794";=".3706499"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029467";=".0040377";=".0007931";=".0043612";="-.0002248";="0";="-.0342278";="";="";="";="";="";="";="";=""
="t";="-1.05862";=".4500237";=".4925647";="1.716921";="-.7031413";=".";="-.5011641";="";="";="";="";="";="";="";=""
="p";=".2897729";=".6526934";=".6223202";=".0859936";=".4819677";=".";=".6162556";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0080766";=".0118435";=".0021076";=".0116042";="-.0006302";="";="";="0";="-.1698378";="";="";="";="";="-.2327025";="-.3426327"
="t";="-1.064485";=".4741041";=".4783208";="1.696562";="-.6816103";="";="";=".";="-.8411158";="";="";="";="";="-1.05958";="-.8949148"
="p";=".2871089";=".6354257";=".6324219";=".0897796";=".4954854";="";="";=".";=".4002831";="";="";="";="";=".2893357";=".3708327"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029686";=".0043532";=".0007746";=".0042652";="-.0002316";="";="";="0";="-.0630395";="";="";="";="";="";=""
="t";="-1.074229";=".47594";=".4779301";="1.713004";="-.6826205";="";="";=".";="-.8372495";="";="";="";="";="";=""
="p";=".2827201";=".6341171";=".6327";=".0867118";=".4948467";="";="";=".";=".4024523";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0081026";=".0093639";=".0020433";=".0123146";="-.0005991";="";="";="";="";="0";=".0724969";="";="";="-.3952511";="-.335916"
="t";="-1.04329";=".3862411";=".4583408";="1.731818";="-.7147817";="";="";="";="";=".";=".2608756";="";="";="-1.295867";="-.8959219"
="p";=".296814";=".6993181";=".6467076";=".0833059";=".474744";="";="";="";="";=".";=".7941884";="";="";=".1950214";=".3702945"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029777";=".0034412";=".0007509";=".0045256";="-.0002202";="";="";="";="";="0";=".0264589";="";="";="";=""
="t";="-1.050688";=".3874439";=".4582398";="1.759004";="-.7153595";="";="";="";="";=".";=".2631923";="";="";="";=""
="p";=".2934019";=".6984276";=".6467801";=".0785769";=".474387";="";="";="";="";=".";=".7924024";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0081873";=".0037254";=".0016537";=".0130939";="-.0005493";="";="";="";="";="";="";="0";=".4818169";="-.7413519";="-.3206651"
="t";="-1.052098";=".1567312";=".3717277";="1.785992";="-.7516051";="";="";="";="";="";="";=".";="1.128223";="-1.683298";="-.8593175"
="p";=".2927545";=".8754567";=".7100956";=".0741005";=".4522886";="";="";="";="";="";="";=".";=".2592256";=".0923175";=".3901654"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0029855";=".0013585";=".000603";=".0047747";="-.0002003";="";="";="";="";="";="";="0";=".1629702";="";=""
="t";="-1.055496";=".1570165";=".3723918";="1.831709";="-.7511003";="";="";="";="";="";="";=".";="1.254923";="";=""
="p";=".2911985";=".8752319";=".7096012";=".0669948";=".4525923";="";="";="";="";="";="";=".";=".2095066";="";=""
=""
