="";="foodw_smnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.012596";=".0005669";=".001698";=".0032937";="-.0007177";="0";="-.1075042";="";="";="";="";="";="";="-.1985683";="-.3791786"
="t";="-1.786517";=".0261833";=".3829974";=".7410171";="-.6233924";=".";="-.5998566";="";="";="";="";="";="";="-.9907692";="-1.013512"
="p";=".0740156";=".9791112";=".7017217";=".458683";=".5330267";=".";=".5486018";="";="";="";="";="";="";=".3217983";=".3108158"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0046899";=".0002111";=".0006322";=".0012264";="-.0002672";="0";="-.0401521";="";="";="";="";="";="";="";=""
="t";="-1.82273";=".0261854";=".3822621";=".7417978";="-.6217484";=".";="-.5998314";="";="";="";="";="";="";="";=""
="p";=".0683443";=".9791095";=".7022669";=".4582098";=".5341073";=".";=".5486186";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0126603";=".0014612";=".0016403";=".0029622";="-.0007446";="";="";="0";="-.1853257";="";="";="";="";="-.1386086";="-.3806217"
="t";="-1.813585";=".0660094";=".3681856";=".6608534";="-.5901257";="";="";=".";="-.9213066";="";="";="";="";="-.6657234";="-1.009427"
="p";=".0697417";=".9473704";=".7127349";=".5087063";=".5551064";="";="";=".";=".3568904";="";="";="";="";=".5055879";=".31277"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0047078";=".0005433";=".00061";=".0011015";="-.0002769";="";="";="0";="-.0696676";="";="";="";="";="";=""
="t";="-1.853313";=".0660284";=".3675642";=".661096";="-.588808";="";="";=".";="-.9175717";="";="";="";="";="";=""
="p";=".0638376";=".9473552";=".7131982";=".5085508";=".5559901";="";="";=".";=".3588432";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0127485";="-.0011625";=".0016073";=".0035767";="-.0007067";="";="";="";="";="0";=".0512558";="";="";="-.2924231";="-.3809744"
="t";="-1.792463";="-.0545596";=".3560446";=".7539388";="-.6497273";="";="";="";="";=".";=".1880969";="";="";="-1.014248";="-1.024241"
="p";=".0730589";=".9564893";=".7218072";=".450886";=".5158684";="";="";="";="";=".";=".8508007";="";="";=".3104642";=".3057215"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0047501";="-.0004331";=".0005989";=".0013327";="-.0002633";="";="";="";="";="0";=".0190072";="";="";="";=""
="t";="-1.829261";="-.0545498";=".3555847";=".7558634";="-.6479698";="";="";="";="";=".";=".1891364";="";="";="";=""
="p";=".0673605";=".9564971";=".7221516";=".4497311";=".5170045";="";="";="";="";=".";=".8499859";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0127999";="-.0067271";=".0012451";=".004482";="-.000638";="";="";="";="";="";="";="0";=".4609038";="-.6374687";="-.3700269"
="t";="-1.804283";="-.3231599";=".2763932";=".8660253";="-.7331434";="";="";="";="";="";="";=".";="1.113433";="-1.531492";="-.995588"
="p";=".071187";=".7465742";=".7822461";=".3864763";=".4634709";="";="";="";="";="";="";=".";=".2655225";=".1256479";=".3194504"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0047379";="-.00249";=".0004609";=".001659";="-.0002361";="";="";="";="";="";="";="0";=".1591514";="";=""
="t";="-1.834031";="-.3225015";=".2764403";=".8728294";="-.7305091";="";="";="";="";="";="";=".";="1.224112";="";=""
="p";=".0666494";=".7470728";=".7822099";=".3827561";=".465079";="";="";="";="";="";="";=".";=".2209101";="";=""
=""
