="";="fooup_mfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0006322";="-.0232843";=".00545";="-.0018021";="-.0051906";="0";="-.03157";="";="";="";="";="";="";="-.1439741";=".2068118"
="t";="-.0662793";="-.7500533";=".9570025";="-.2408175";="-.6002185";=".";="-.0958972";="";="";="";="";="";="";="-.52339";=".4162265"
="p";=".9471554";=".4532226";=".338566";=".8096966";=".5483606";=".";=".9236022";="";="";="";="";="";="";=".6007029";=".6772443"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0002358";="-.008684";=".0020326";="-.0006721";="-.0019359";="0";="-.0117764";="";="";="";="";="";="";="";=""
="t";="-.0662881";="-.7536489";=".9643927";="-.2406759";="-.6034512";=".";="-.0960086";="";="";="";="";="";="";="";=""
="p";=".9471484";=".4510601";=".3348491";=".8098063";=".5462085";=".";=".9235138";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000993";="-.0268516";=".0054888";="-.0018028";="-.0051208";="";="";="0";=".1006545";="";="";="";="";="-.210119";=".2711575"
="t";="-.0098937";="-.8205704";=".9460104";="-.2367027";="-.5892994";="";="";=".";=".2428541";="";="";="";="";="-.6623568";=".5116616"
="p";=".9921061";=".411891";=".3441433";=".8128874";=".5556604";="";="";=".";=".8081185";="";="";="";="";=".5077426";=".6088879"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000037";="-.0099956";=".0020432";="-.0006711";="-.0019062";="";="";="0";=".0373963";="";="";="";="";="";=""
="t";="-.0098934";="-.8268332";=".9554006";="-.2364956";="-.5924575";="";="";=".";=".2430353";="";="";="";="";="";=""
="p";=".9921063";=".4083316";=".3393751";=".8130482";=".5535442";="";="";=".";=".807978";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0027507";="-.0122005";=".0052198";="-.0016393";="-.0054294";="";="";="";="";="0";="-.461214";="";="";=".1419861";=".0620507"
="t";="-.3035511";="-.3902398";=".9333185";="-.2153308";="-.6318005";="";="";="";="";=".";="-1.204547";="";="";=".4571925";=".1301735"
="p";=".7614699";=".6963593";=".3506555";=".8295094";=".5275173";="";="";="";="";=".";=".2283782";="";="";=".6475327";=".8964292"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010073";="-.0044677";=".0019115";="-.0006003";="-.0019882";="";="";="";="";="0";="-.1751296";="";="";="";=""
="t";="-.3041853";="-.3898643";=".9426936";="-.2152732";="-.6357874";="";="";="";="";=".";="-1.223686";="";="";="";=""
="p";=".7609867";=".6966369";=".3458377";=".8295543";=".524915";="";="";="";="";=".";=".2210707";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007158";="-.0192111";=".005668";="-.0014578";="-.0053569";="";="";="";="";="";="";="0";="-.3518294";=".1300943";=".1014052"
="t";="-.0791345";="-.6427698";=".9792251";="-.1949943";="-.6048911";="";="";="";="";="";="";=".";="-.7663075";=".2865623";=".2191968"
="p";=".9369257";=".5203735";=".3274688";=".8453974";=".5452514";="";="";="";="";="";="";=".";=".4434934";=".7744475";=".8264968"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0002657";="-.0071304";=".0021037";="-.0005411";="-.0019883";="";="";="";="";="";="";="0";="-.1346435";="";=""
="t";="-.0791351";="-.6463287";=".9841365";="-.1949144";="-.6077637";="";="";="";="";="";="";=".";="-.7596406";="";=""
="p";=".9369252";=".5180665";=".3250484";=".84546";=".5433442";="";="";="";="";="";="";=".";=".4474695";="";=""
=""
