="";="fooup_sfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0025637";="-.0068866";=".0007988";="-.0001132";="-.000703";="0";="-.3170704";="";="";="";="";="";="";="-.6188031";=".5263697"
="t";=".2698192";="-.5564642";=".1751186";="-1.658909";="-1.509347";=".";="-1.009103";="";="";="";="";="";="";="-2.078644";="1.174055"
="p";=".7872994";=".5778936";=".8609864";=".0971342";=".1312102";=".";=".3129251";="";="";="";="";="";="";=".0376501";=".2403731"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0007157";="-.0019225";=".000223";="-.0000316";="-.0001962";="0";="-.0919604";="";="";="";="";="";="";="";=""
="t";=".2685962";="-.551578";=".1743289";="-1.582302";="-1.449905";=".";="-.9780128";="";="";="";="";="";="";="";=""
="p";=".7882404";=".5812375";=".861607";=".1135807";=".1470851";=".";=".328068";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0024956";="-.0069678";=".0003823";="-.0001117";="-.0007163";="";="";="0";="-.4354274";="";="";="";="";="-.5178657";=".5118289"
="t";=".2666918";="-.5535059";=".083734";="-1.596913";="-1.538836";="";="";=".";="-1.502238";="";="";="";="";="-1.742386";="1.158255"
="p";=".7897064";=".5799171";=".9332679";=".1102851";=".1238443";="";="";=".";=".1330357";="";="";="";="";=".0814409";=".2467599"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000692";="-.0019321";=".000106";="-.000031";="-.0001986";="";="";="0";="-.1300882";="";="";="";="";="";=""
="t";=".2651993";="-.5476356";=".0835517";="-1.524648";="-1.481581";="";="";=".";="-1.413428";="";="";="";="";="";=""
="p";=".790856";=".5839422";=".9334128";=".1273468";=".1384519";="";="";=".";=".1575299";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".002982";="-.0072363";=".0002726";="-.0001302";="-.0007136";="";="";="";="";="0";="-.4770027";="";="";="-.4431709";=".4661714"
="t";=".3214522";="-.5720252";=".059724";="-1.789041";="-1.540183";="";="";="";="";=".";="-1.284155";="";="";="-1.221169";="1.059549"
="p";=".7478677";=".5673049";=".9523755";=".0736082";=".1235157";="";="";="";="";=".";=".1990878";="";="";=".222022";=".2893497"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0008263";="-.002005";=".0000755";="-.0000361";="-.0001977";="";="";="";="";="0";="-.1480653";="";="";="";=""
="t";=".3196215";="-.5666419";=".0596376";="-1.731956";="-1.479738";="";="";="";="";=".";="-1.174392";="";="";="";=""
="p";=".7492553";=".5709575";=".9524443";=".0832813";=".1389433";="";="";="";="";=".";=".240238";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0034815";="-.0090096";=".0008701";="-.0001207";="-.0007063";="";="";="";="";="";="";="0";="-.3841596";="-.4503431";=".4001015"
="t";=".3809345";="-.7156156";=".189139";="-1.719351";="-1.463566";="";="";="";="";="";="";=".";="-.6865612";="-.8066375";=".8507817"
="p";=".7032518";=".4742287";=".8499839";=".0855504";=".1433126";="";="";="";="";="";="";=".";=".4923593";=".4198754";=".3948907"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0009847";="-.0025483";=".0002461";="-.0000342";="-.0001998";="";="";="";="";="";="";="0";="-.1221848";="";=""
="t";=".3784753";="-.7080023";=".1882316";="-1.634242";="-1.419069";="";="";="";="";="";="";=".";="-.6224977";="";=""
="p";=".7050775";=".4789438";=".8506951";=".1022081";=".1558789";="";="";="";="";="";="";=".";=".5336147";="";=""
=""
