="";="fooup_sfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0033641";="-.0041822";=".000639";=".0012374";="-.0007075";="0";="-.3313754";="";="";="";="";="";="";="-.6183556";=".4924498"
="t";=".3492731";="-.2855604";=".1410778";=".639539";="-1.494655";=".";="-1.06096";="";="";="";="";="";="";="-2.129328";="1.102566"
="p";=".7268843";=".7752148";=".8878085";=".5224724";=".1350046";=".";=".288708";="";="";="";="";="";="";=".0332271";=".2702156"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0009454";="-.0011753";=".0001796";=".0003477";="-.0001988";="0";="-.0968626";="";="";="";="";="";="";="";=""
="t";=".3470659";="-.2850271";=".1405381";=".6323632";="-1.435519";=".";="-1.028023";="";="";="";="";="";="";="";=""
="p";=".7285418";=".7756234";=".8882349";=".5271496";=".1511393";=".";=".3039389";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0032595";="-.0045695";=".0002202";=".001133";="-.0007219";="";="";="0";="-.4469502";="";="";="";="";="-.5155147";=".4765735"
="t";=".3434987";="-.3083018";=".0485728";=".6123196";="-1.524102";="";="";=".";="-1.561772";="";="";="";="";="-1.801343";="1.082279"
="p";=".7312233";=".7578527";=".9612598";=".5403263";=".1274831";="";="";=".";=".1183417";="";="";="";="";=".0716488";=".2791286"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0009108";="-.0012769";=".0000615";=".0003166";="-.0002017";="";="";="0";="-.1346806";="";="";="";="";="";=""
="t";=".3409112";="-.3071415";=".0485073";=".6079446";="-1.467373";="";="";=".";="-1.472159";="";="";="";="";="";=""
="p";=".7331704";=".7587357";=".9613119";=".5432242";=".1422746";="";="";=".";=".140978";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0038829";="-.0051266";=".0001622";=".0011644";="-.0007221";="";="";="";="";="0";="-.4436651";="";="";="-.4718104";=".433844"
="t";=".4093536";="-.3498998";=".0355509";=".6295549";="-1.526619";="";="";="";="";=".";="-1.280413";="";="";="-1.36211";=".9852539"
="p";=".6822802";=".7264139";=".9716405";=".5289858";=".1268557";="";="";="";="";=".";=".2004";="";="";=".173163";=".3244993"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0010864";="-.0014344";=".0000454";=".0003258";="-.000202";="";="";="";="";="0";="-.1381549";="";="";="";=""
="t";=".4062573";="-.3489401";=".0355175";=".6231615";="-1.467196";="";="";="";="";=".";="-1.170243";="";="";="";=""
="p";=".6845536";=".7271343";=".9716671";=".5331784";=".1423227";="";="";="";="";=".";=".2419031";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0043233";="-.00676";=".0007265";=".0011776";="-.0007128";="";="";="";="";="";="";="0";="-.3722284";="-.4670592";=".3714352"
="t";=".4639888";="-.4568749";=".1590945";=".615246";="-1.452273";="";="";="";="";="";="";=".";="-.6726805";="-.851077";=".7901072"
="p";=".6426558";=".647761";=".8735944";=".5383923";=".1464258";="";="";="";="";="";="";=".";=".5011506";=".3947266";=".4294651"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0012298";="-.0019229";=".0002067";=".000335";="-.0002028";="";="";="";="";="";="";="0";="-.1187904";="";=""
="t";=".4598499";="-.4556956";=".1584041";=".6060929";="-1.405832";="";="";="";="";="";="";=".";="-.612492";="";=""
="p";=".645624";=".6486089";=".8741384";=".5444531";=".1597741";="";="";="";="";="";="";=".";=".5402123";="";=""
=""
