="";="fooup_sfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0062284";="-.0151563";=".000624";=".0081743";="-.0007319";="0";="-.3236599";="";="";="";="";="";="";="-.5851222";=".5218881"
="t";=".6445556";="-1.15208";=".1328431";="1.943762";="-1.473633";=".";="-1.027709";="";="";="";="";="";="";="-1.958403";="1.170391"
="p";=".5192152";=".2492884";=".8943174";=".0519242";=".1405803";=".";=".3040867";="";="";="";="";="";="";=".0501827";=".2418438"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0017521";="-.0042636";=".0001755";=".0022995";="-.0002059";="0";="-.0944195";="";="";="";="";="";="";="";=""
="t";=".6346159";="-1.115955";=".1323612";="1.816459";="-1.421466";=".";="-.9947966";="";="";="";="";="";="";="";=""
="p";=".5256789";=".2644415";=".8946986";=".0692999";=".1551812";=".";=".3198352";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0059597";="-.014822";=".0002159";=".0077966";="-.0007457";="";="";="0";="-.4336668";="";="";="";="";="-.4885793";=".5013026"
="t";=".6202055";="-1.098516";=".0461005";="1.923506";="-1.49703";="";="";=".";="-1.49029";="";="";="";="";="-1.641476";="1.139345"
="p";=".5351225";=".2719791";=".9632302";=".0544166";=".1343854";="";="";=".";=".1361481";="";="";="";="";=".1006987";=".2545593"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".001669";="-.0041508";=".0000605";=".0021834";="-.0002088";="";="";="0";="-.13031";="";="";="";="";="";=""
="t";=".6098211";="-1.062696";=".0460422";="1.790028";="-1.44808";="";="";=".";="-1.402371";="";="";="";="";="";=""
="p";=".5419803";=".28792";=".9632766";=".0734493";=".1475947";="";="";=".";=".1608046";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0064709";="-.0152811";=".0001749";=".0075731";="-.0007452";="";="";="";="";="0";="-.4223458";="";="";="-.4521038";=".4619123"
="t";=".6711373";="-1.125472";=".0371927";="1.94906";="-1.502964";="";="";="";="";=".";="-1.221347";="";="";="-1.27272";="1.051296"
="p";=".502133";=".2603889";=".9703313";=".0512883";=".1328483";="";="";="";="";=".";=".2219548";="";="";=".2031173";=".2931227"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0018152";="-.0042866";=".0000491";=".0021244";="-.000209";="";="";="";="";="0";="-.1308505";="";="";="";=""
="t";=".6607099";="-1.093833";=".0371566";="1.828421";="-1.451911";="";="";="";="";=".";="-1.116933";="";="";="";=""
="p";=".5087984";=".2740283";=".9703602";=".0674864";=".1465265";="";="";="";="";=".";=".2640229";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0072598";="-.0175393";=".0006855";=".0084352";="-.0007381";="";="";="";="";="";="";="0";="-.3867552";="-.4176885";=".3972886"
="t";=".7666666";="-1.294394";=".1446469";="1.967034";="-1.421276";="";="";="";="";="";="";=".";="-.6927766";="-.7484754";=".8505024"
="p";=".4432797";=".1955292";=".8849897";=".0491793";=".1552367";="";="";="";="";="";="";=".";=".4884498";=".4541735";=".3950458"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0020662";="-.0049919";=".0001951";=".0024008";="-.0002101";="";="";="";="";="";="";="0";="-.1235628";="";=""
="t";=".7526309";="-1.253175";=".1440765";="1.863774";="-1.38009";="";="";="";="";="";="";=".";="-.6297495";="";=""
="p";=".4516717";=".2101421";=".88544";=".0623534";=".1675589";="";="";="";="";="";="";=".";=".5288585";="";=""
=""
