
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.000970";="-0.000359";="-0.000479";="-0.000177";="-0.00302";="-0.00110";="-0.00107";="-0.000396"
="";="(-0.10)";="(-0.10)";="(-0.05)";="(-0.05)";="(-0.34)";="(-0.34)";="(-0.12)";="(-0.12)"
="NGDP_RPCH";="-0.0230";="-0.00853";="-0.0262";="-0.00967";="-0.0124";="-0.00451";="-0.0193";="-0.00710"
="";="(-0.72)";="(-0.72)";="(-0.77)";="(-0.77)";="(-0.39)";="(-0.39)";="(-0.62)";="(-0.62)"
="ExtDebtPercGNI_Var";="0.00522";="0.00193";="0.00526";="0.00194";="0.00499";="0.00182";="0.00545";="0.00201"
="";="(0.93)";="(0.94)";="(0.92)";="(0.93)";="(0.91)";="(0.92)";="(0.96)";="(0.96)"
="BudgetBal_NGDP_Var";="0.000248";="0.0000917";="0.000246";="0.0000909";="0.000237";="0.0000864";="0.000244";="0.0000898"
="";="(1.31)";="(1.31)";="(1.21)";="(1.21)";="(1.27)";="(1.28)";="(1.28)";="(1.28)"
="PCPIPCH";="-0.00546";="-0.00202";="-0.00541";="-0.00200";="-0.00568";="-0.00207";="-0.00561";="-0.00207"
="";="(-0.64)";="(-0.64)";="(-0.63)";="(-0.63)";="(-0.67)";="(-0.67)";="(-0.64)";="(-0.64)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0350";="-0.0130";="";="";="";="";="";=""
="";="(-0.11)";="(-0.11)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0774";="0.0286";="";="";="";=""
="";="";="";="(0.18)";="(0.18)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.455";="-0.172";="";=""
="";="";="";="";="";="(-1.19)";="(-1.21)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.351";="-0.133"
="";="";="";="";="";="";="";="(-0.77)";="(-0.76)"
="Const";="-0.131";="";="-0.187";="";="0.150";="";="0.142";=""
="";="(-0.48)";="";="(-0.58)";="";="(0.49)";="";="(0.31)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.177";="";="0.234";="";="0.0324";="";="0.0725";=""
="";="(0.35)";="";="(0.44)";="";="(0.07)";="";="(0.16)";=""

="Observations";="238";="238";="238";="238";="238";="238";="238";="238"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
