
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00420";="0.00156";="0.00475";="0.00176";="0.00236";="0.000861";="0.00443";="0.00164"
="";="(0.39)";="(0.39)";="(0.43)";="(0.43)";="(0.24)";="(0.24)";="(0.43)";="(0.43)"
="NGDP_RPCH";="-0.0106";="-0.00395";="-0.0144";="-0.00535";="0.000413";="0.000151";="-0.00594";="-0.00220"
="";="(-0.33)";="(-0.33)";="(-0.42)";="(-0.43)";="(0.01)";="(0.01)";="(-0.19)";="(-0.19)"
="ExtDebtPercGNI_Var";="0.00608";="0.00226";="0.00613";="0.00227";="0.00581";="0.00212";="0.00636";="0.00235"
="";="(1.09)";="(1.10)";="(1.07)";="(1.08)";="(1.06)";="(1.07)";="(1.11)";="(1.12)"
="GGXWDG_NGDP_Var";="0.00745";="0.00277";="0.00744";="0.00276";="0.00773";="0.00282";="0.00798";="0.00295"
="";="(1.02)";="(1.03)";="(1.00)";="(1.01)";="(1.05)";="(1.07)";="(1.08)";="(1.10)"
="PCPIPCH";="-0.00435";="-0.00162";="-0.00429";="-0.00159";="-0.00452";="-0.00165";="-0.00445";="-0.00164"
="";="(-0.55)";="(-0.55)";="(-0.53)";="(-0.54)";="(-0.58)";="(-0.58)";="(-0.55)";="(-0.55)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0459";="-0.0171";="";="";="";="";="";=""
="";="(-0.13)";="(-0.13)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0965";="0.0358";="";="";="";=""
="";="";="";="(0.22)";="(0.22)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.473";="-0.179";="";=""
="";="";="";="";="";="(-1.23)";="(-1.25)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.400";="-0.153"
="";="";="";="";="";="";="";="(-0.85)";="(-0.84)"
="Const";="-0.235";="";="-0.305";="";="0.0492";="";="0.0673";=""
="";="(-0.82)";="";="(-0.93)";="";="(0.16)";="";="(0.14)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.197";="";="0.267";="";="0.0482";="";="0.0826";=""
="";="(0.39)";="";="(0.50)";="";="(0.10)";="";="(0.18)";=""

="Observations";="238";="238";="238";="238";="238";="238";="238";="238"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
