
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.000632";="-0.000236";="-0.0000993";="-0.0000370";="-0.00275";="-0.00101";="-0.000716";="-0.000266"
="";="(-0.07)";="(-0.07)";="(-0.01)";="(-0.01)";="(-0.30)";="(-0.30)";="(-0.08)";="(-0.08)"
="NGDP_RPCH";="-0.0233";="-0.00868";="-0.0269";="-0.01000";="-0.0122";="-0.00447";="-0.0192";="-0.00713"
="";="(-0.75)";="(-0.75)";="(-0.82)";="(-0.83)";="(-0.39)";="(-0.39)";="(-0.64)";="(-0.65)"
="ExtDebtPercGNI_Var";="0.00545";="0.00203";="0.00549";="0.00204";="0.00522";="0.00191";="0.00567";="0.00210"
="";="(0.96)";="(0.96)";="(0.95)";="(0.96)";="(0.93)";="(0.94)";="(0.98)";="(0.98)"
="GGXWDN_NGDP_Var";="-0.00180";="-0.000672";="-0.00180";="-0.000671";="-0.00164";="-0.000600";="-0.00146";="-0.000541"
="";="(-0.24)";="(-0.24)";="(-0.24)";="(-0.24)";="(-0.22)";="(-0.22)";="(-0.19)";="(-0.19)"
="PCPIPCH";="-0.00519";="-0.00194";="-0.00512";="-0.00191";="-0.00543";="-0.00199";="-0.00536";="-0.00199"
="";="(-0.60)";="(-0.60)";="(-0.59)";="(-0.59)";="(-0.63)";="(-0.64)";="(-0.60)";="(-0.61)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0316";="-0.0118";="";="";="";="";="";=""
="";="(-0.10)";="(-0.10)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.101";="0.0374";="";="";="";=""
="";="";="";="(0.24)";="(0.24)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.461";="-0.175";="";=""
="";="";="";="";="";="(-1.20)";="(-1.22)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.352";="-0.135"
="";="";="";="";="";="";="";="(-0.77)";="(-0.76)"
="Const";="-0.144";="";="-0.210";="";="0.142";="";="0.130";=""
="";="(-0.52)";="";="(-0.66)";="";="(0.46)";="";="(0.29)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.207";="";="0.271";="";="0.0621";="";="0.101";=""
="";="(0.42)";="";="(0.51)";="";="(0.13)";="";="(0.22)";=""

="Observations";="238";="238";="238";="238";="238";="238";="238";="238"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
