
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00470";="0.00146";="0.00509";="0.00161";="0.00170";="0.000500";="0.00655";="0.00211"
="";="(0.54)";="(0.55)";="(0.60)";="(0.60)";="(0.24)";="(0.24)";="(0.86)";="(0.87)"
="NGDP_RPCH";="-0.0272";="-0.00845";="-0.0295";="-0.00934";="-0.0149";="-0.00438";="-0.0346";="-0.0112"
="";="(-0.87)";="(-0.90)";="(-0.88)";="(-0.90)";="(-0.45)";="(-0.46)";="(-1.11)";="(-1.15)"
="ExtDebtPercGNI_Var";="0.00836";="0.00260";="0.00818";="0.00258";="0.00875";="0.00257";="0.00875";="0.00282"
="";="(1.51)";="(1.49)";="(1.42)";="(1.40)";="(1.51)";="(1.53)";="(1.51)";="(1.50)"
="GGSB_NPGDP";="-0.0726";="-0.0225";="-0.0719";="-0.0227";="-0.0624";="-0.0183";="-0.0762";="-0.0246"
="";="(-1.30)";="(-1.49)";="(-1.25)";="(-1.43)";="(-1.08)";="(-1.19)";="(-1.40)";="(-1.61)"
="PCPIPCH";="-0.00371";="-0.00115";="-0.00374";="-0.00118";="-0.00459";="-0.00135";="-0.00301";="-0.000970"
="";="(-0.38)";="(-0.37)";="(-0.38)";="(-0.37)";="(-0.46)";="(-0.45)";="(-0.30)";="(-0.30)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.601**";="-0.196*";="";="";="";="";="";=""
="";="(-2.01)";="(-1.92)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.476";="-0.158";="";="";="";=""
="";="";="";="(-1.29)";="(-1.24)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.962***";="-0.328***";="";=""
="";="";="";="";="";="(-3.05)";="(-2.94)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.398";="-0.136"
="";="";="";="";="";="";="";="(-0.78)";="(-0.75)"
="Const";="-0.278";="";="-0.299";="";="0.0645";="";="-0.252";=""
="";="(-0.68)";="";="(-0.67)";="";="(0.15)";="";="(-0.42)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.156";="";="-0.0780";="";="-0.0547";="";="-0.103";=""
="";="(-0.24)";="";="(-0.12)";="";="(-0.08)";="";="(-0.14)";=""

="Observations";="170";="170";="170";="170";="170";="170";="170";="170"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
