
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00336";="0.000945";="0.00326";="0.000911";="0.00388";="0.00109";="0.00432";="0.00123"
="";="(0.35)";="(0.35)";="(0.34)";="(0.34)";="(0.41)";="(0.41)";="(0.46)";="(0.46)"
="NGDP_RPCH";="-0.00418";="-0.00118";="-0.00457";="-0.00128";="-0.00513";="-0.00143";="-0.00676";="-0.00192"
="";="(-0.29)";="(-0.29)";="(-0.31)";="(-0.31)";="(-0.35)";="(-0.35)";="(-0.46)";="(-0.46)"
="ExtDebtPercGNI_Var";="0.000639";="0.000180";="0.000220";="0.0000615";="0.000162";="0.0000454";="0.000727";="0.000207"
="";="(0.14)";="(0.14)";="(0.05)";="(0.05)";="(0.04)";="(0.04)";="(0.16)";="(0.16)"
="GGXWDG_NGDP_Var";="0.00124";="0.000348";="0.00113";="0.000317";="0.00116";="0.000326";="0.00118";="0.000335"
="";="(0.64)";="(0.63)";="(0.61)";="(0.61)";="(0.63)";="(0.62)";="(0.62)";="(0.61)"
="PCPIPCH";="-0.000707";="-0.000199";="-0.000722";="-0.000202";="-0.000722";="-0.000202";="-0.000713";="-0.000203"
="";="(-1.49)";="(-1.44)";="(-1.52)";="(-1.47)";="(-1.53)";="(-1.47)";="(-1.45)";="(-1.41)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.331";="-0.0969";="";="";="";="";="";=""
="";="(-1.06)";="(-1.03)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.447";="-0.135";="";="";="";=""
="";="";="";="(-1.56)";="(-1.47)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.444";="-0.138";="";=""
="";="";="";="";="";="(-1.28)";="(-1.17)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.372";="-0.119"
="";="";="";="";="";="";="";="(-0.67)";="(-0.61)"
="Const";="-0.618**";="";="-0.516*";="";="-0.472";="";="-0.467";=""
="";="(-2.13)";="";="(-1.80)";="";="(-1.36)";="";="(-0.85)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.492";="";="0.477";="";="0.434";="";="0.371";=""
="";="(1.10)";="";="(1.08)";="";="(0.99)";="";="(0.79)";=""

="Observations";="376";="376";="376";="376";="376";="376";="376";="376"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
