
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00623";="0.00175";="0.00596";="0.00167";="0.00647";="0.00182";="0.00726";="0.00207"
="";="(0.64)";="(0.63)";="(0.62)";="(0.61)";="(0.67)";="(0.66)";="(0.77)";="(0.75)"
="NGDP_RPCH";="-0.0152";="-0.00426";="-0.0148";="-0.00415";="-0.0153";="-0.00429";="-0.0175";="-0.00499"
="";="(-1.15)";="(-1.12)";="(-1.10)";="(-1.06)";="(-1.13)";="(-1.09)";="(-1.29)";="(-1.25)"
="ExtDebtPercGNI_Var";="0.000624";="0.000176";="0.000216";="0.0000605";="0.000175";="0.0000491";="0.000685";="0.000195"
="";="(0.13)";="(0.13)";="(0.05)";="(0.05)";="(0.04)";="(0.04)";="(0.14)";="(0.14)"
="GGXWDN_NGDP_Var";="0.00817*";="0.00230*";="0.00780*";="0.00218*";="0.00757*";="0.00212*";="0.00844**";="0.00240*"
="";="(1.94)";="(1.82)";="(1.92)";="(1.79)";="(1.95)";="(1.83)";="(1.97)";="(1.86)"
="PCPIPCH";="-0.000732";="-0.000206";="-0.000746";="-0.000209";="-0.000745";="-0.000209";="-0.000738";="-0.000210"
="";="(-1.47)";="(-1.42)";="(-1.50)";="(-1.45)";="(-1.50)";="(-1.45)";="(-1.42)";="(-1.38)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.324";="-0.0944";="";="";="";="";="";=""
="";="(-1.03)";="(-0.99)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.434";="-0.130";="";="";="";=""
="";="";="";="(-1.49)";="(-1.40)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.422";="-0.131";="";=""
="";="";="";="";="";="(-1.22)";="(-1.12)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.387";="-0.124"
="";="";="";="";="";="";="";="(-0.69)";="(-0.63)"
="Const";="-0.585*";="";="-0.489";="";="-0.452";="";="-0.418";=""
="";="(-1.96)";="";="(-1.64)";="";="(-1.27)";="";="(-0.75)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.522";="";="0.501";="";="0.462";="";="0.397";=""
="";="(1.17)";="";="(1.14)";="";="(1.05)";="";="(0.85)";=""

="Observations";="376";="376";="376";="376";="376";="376";="376";="376"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
