
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00724";="-0.00208";="-0.00785";="-0.00222";="-0.00794";="-0.00221";="-0.00574";="-0.00166"
="";="(-0.58)";="(-0.58)";="(-0.63)";="(-0.64)";="(-0.66)";="(-0.66)";="(-0.48)";="(-0.48)"
="NGDP_RPCH";="-0.0121";="-0.00347";="-0.00839";="-0.00237";="-0.00219";="-0.000608";="-0.0188";="-0.00543"
="";="(-0.31)";="(-0.31)";="(-0.22)";="(-0.22)";="(-0.05)";="(-0.05)";="(-0.48)";="(-0.48)"
="ExtDebtPercGNI_Var";="-0.00615";="-0.00176";="-0.00738";="-0.00209";="-0.00652";="-0.00181";="-0.00618";="-0.00178"
="";="(-0.83)";="(-0.83)";="(-1.04)";="(-1.04)";="(-0.91)";="(-0.91)";="(-0.84)";="(-0.86)"
="GGSB_NPGDP";="0.00530";="0.00152";="0.0102";="0.00289";="0.0204";="0.00567";="0.000685";="0.000198"
="";="(0.16)";="(0.16)";="(0.31)";="(0.30)";="(0.59)";="(0.58)";="(0.02)";="(0.02)"
="PCPIPCH";="-0.00108";="-0.000309";="-0.00116";="-0.000329";="-0.00120";="-0.000333";="-0.00108";="-0.000310"
="";="(-0.93)";="(-0.92)";="(-0.76)";="(-0.75)";="(-0.74)";="(-0.73)";="(-0.90)";="(-0.88)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.418";="-0.122";="";="";="";="";="";=""
="";="(-1.12)";="(-1.10)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.617*";="-0.185*";="";="";="";=""
="";="";="";="(-1.83)";="(-1.76)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.722**";="-0.230*";="";=""
="";="";="";="";="";="(-1.99)";="(-1.82)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.456";="-0.149"
="";="";="";="";="";="";="";="(-0.83)";="(-0.76)"
="Const";="-0.446";="";="-0.300";="";="-0.146";="";="-0.261";=""
="";="(-1.25)";="";="(-0.85)";="";="(-0.39)";="";="(-0.48)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.343";="";="-0.405";="";="-0.459";="";="-0.463";=""
="";="(-0.47)";="";="(-0.56)";="";="(-0.63)";="";="(-0.59)";=""

="Observations";="212";="212";="212";="212";="212";="212";="212";="212"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
