
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00570";="0.00213";="0.00573";="0.00214";="0.00581";="0.00217";="0.00595";="0.00221"
="";="(0.55)";="(0.55)";="(0.55)";="(0.55)";="(0.56)";="(0.56)";="(0.58)";="(0.58)"
="NGDP_RPCH";="0.0125";="0.00466";="0.0121";="0.00453";="0.00915";="0.00341";="0.00130";="0.000482"
="";="(0.38)";="(0.38)";="(0.36)";="(0.36)";="(0.27)";="(0.27)";="(0.04)";="(0.04)"
="ExtDebtPercGNI_Var";="0.00428";="0.00160";="0.00433";="0.00161";="0.00421";="0.00157";="0.00418";="0.00155"
="";="(1.11)";="(1.11)";="(1.11)";="(1.12)";="(1.09)";="(1.10)";="(1.10)";="(1.10)"
="BudgetBal_NGDP_Var";="0.0000266";="0.00000993";="0.0000263";="0.00000979";="0.0000274";="0.0000102";="0.0000276";="0.0000103"
="";="(1.02)";="(1.02)";="(1.00)";="(0.99)";="(0.99)";="(0.99)";="(1.00)";="(0.99)"
="PCPIPCH";="-0.0168";="-0.00625";="-0.0167";="-0.00624";="-0.0168";="-0.00628";="-0.0159";="-0.00591"
="";="(-1.54)";="(-1.57)";="(-1.54)";="(-1.57)";="(-1.54)";="(-1.57)";="(-1.44)";="(-1.46)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0220";="0.00819";="";="";="";="";="";=""
="";="(0.09)";="(0.09)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0366";="0.0136";="";="";="";=""
="";="";="";="(0.14)";="(0.14)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.137";="0.0504";="";=""
="";="";="";="";="";="(0.50)";="(0.51)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.499";="0.173"
="";="";="";="";="";="";="";="(1.28)";="(1.39)"
="Const";="-0.237";="";="-0.248";="";="-0.317";="";="-0.623*";=""
="";="(-0.97)";="";="(-0.96)";="";="(-1.14)";="";="(-1.67)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.526";="";="-0.527";="";="-0.549";="";="-0.596";=""
="";="(-1.26)";="";="(-1.26)";="";="(-1.30)";="";="(-1.40)";=""

="Observations";="357";="357";="357";="357";="357";="357";="357";="357"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
