
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00348";="0.00130";="0.00358";="0.00134";="0.00378";="0.00141";="0.00425";="0.00158"
="";="(0.31)";="(0.31)";="(0.32)";="(0.32)";="(0.34)";="(0.34)";="(0.39)";="(0.39)"
="NGDP_RPCH";="0.00626";="0.00234";="0.00562";="0.00210";="0.00370";="0.00139";="-0.00330";="-0.00123"
="";="(0.19)";="(0.19)";="(0.16)";="(0.16)";="(0.11)";="(0.11)";="(-0.09)";="(-0.09)"
="ExtDebtPercGNI_Var";="0.00443";="0.00166";="0.00447";="0.00167";="0.00437";="0.00163";="0.00433";="0.00161"
="";="(1.15)";="(1.16)";="(1.16)";="(1.17)";="(1.14)";="(1.15)";="(1.15)";="(1.15)"
="GGXWDG_NGDP_Var";="-0.00656";="-0.00245";="-0.00648";="-0.00242";="-0.00613";="-0.00229";="-0.00542";="-0.00202"
="";="(-0.63)";="(-0.64)";="(-0.63)";="(-0.63)";="(-0.57)";="(-0.58)";="(-0.52)";="(-0.52)"
="PCPIPCH";="-0.0170";="-0.00634";="-0.0170";="-0.00634";="-0.0170";="-0.00636";="-0.0161";="-0.00601"
="";="(-1.52)";="(-1.56)";="(-1.52)";="(-1.56)";="(-1.52)";="(-1.55)";="(-1.43)";="(-1.45)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.000209";="0.0000782";="";="";="";="";="";=""
="";="(0.00)";="(0.00)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0313";="0.0117";="";="";="";=""
="";="";="";="(0.12)";="(0.12)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.108";="0.0401";="";=""
="";="";="";="";="";="(0.37)";="(0.38)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.469";="0.164"
="";="";="";="";="";="";="";="(1.16)";="(1.26)"
="Const";="-0.185";="";="-0.203";="";="-0.260";="";="-0.567";=""
="";="(-0.69)";="";="(-0.71)";="";="(-0.80)";="";="(-1.40)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.498";="";="-0.506";="";="-0.525";="";="-0.579";=""
="";="(-1.21)";="";="(-1.22)";="";="(-1.25)";="";="(-1.37)";=""

="Observations";="357";="357";="357";="357";="357";="357";="357";="357"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
