
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.000608";="0.000224";="0.000634";="0.000234";="0.000771";="0.000284";="0.00122";="0.000448"
="";="(0.06)";="(0.06)";="(0.06)";="(0.06)";="(0.07)";="(0.07)";="(0.11)";="(0.11)"
="NGDP_RPCH";="0.00156";="0.000574";="0.00134";="0.000493";="-0.00000380";="-0.00000140";="-0.00715";="-0.00263"
="";="(0.04)";="(0.04)";="(0.04)";="(0.04)";="(-0.00)";="(-0.00)";="(-0.20)";="(-0.20)"
="ExtDebtPercGNI_Var";="0.00443";="0.00163";="0.00443";="0.00163";="0.00440";="0.00162";="0.00435";="0.00160"
="";="(1.15)";="(1.16)";="(1.15)";="(1.16)";="(1.15)";="(1.16)";="(1.15)";="(1.16)"
="GGXWDN_NGDP_Var";="-0.0190*";="-0.00702*";="-0.0190*";="-0.00701*";="-0.0188*";="-0.00692*";="-0.0184*";="-0.00677*"
="";="(-1.83)";="(-1.85)";="(-1.84)";="(-1.87)";="(-1.75)";="(-1.78)";="(-1.66)";="(-1.68)"
="PCPIPCH";="-0.0165";="-0.00610";="-0.0166";="-0.00610";="-0.0166";="-0.00612";="-0.0158";="-0.00583"
="";="(-1.55)";="(-1.58)";="(-1.55)";="(-1.57)";="(-1.55)";="(-1.57)";="(-1.45)";="(-1.48)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.00766";="-0.00282";="";="";="";="";="";=""
="";="(-0.03)";="(-0.03)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.00191";="0.000703";="";="";="";=""
="";="";="";="(0.01)";="(0.01)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0559";="0.0205";="";=""
="";="";="";="";="";="(0.18)";="(0.19)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.405";="0.141"
="";="";="";="";="";="";="";="(0.95)";="(1.02)"
="Const";="-0.160";="";="-0.164";="";="-0.202";="";="-0.491";=""
="";="(-0.63)";="";="(-0.61)";="";="(-0.65)";="";="(-1.19)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.474";="";="-0.477";="";="-0.491";="";="-0.547";=""
="";="(-1.12)";="";="(-1.12)";="";="(-1.13)";="";="(-1.26)";=""

="Observations";="357";="357";="357";="357";="357";="357";="357";="357"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
