
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00426";="0.000568";="-0.000471";="-0.0000869";="-0.00428";="0.000571";="-0.000473";="-0.0000874";="-0.00437";="0.000585";="-0.000485";="-0.0000896";="-0.00440";="0.000598";="-0.000494";="-0.0000926"
="";="(-0.56)";="(0.55)";="(-0.56)";="(-0.53)";="(-0.56)";="(0.55)";="(-0.55)";="(-0.53)";="(-0.58)";="(0.58)";="(-0.58)";="(-0.55)";="(-0.60)";="(0.60)";="(-0.60)";="(-0.56)"
="NGDP_RPCH";="0.00710";="-0.000948";="0.000786";="0.000145";="0.00715";="-0.000955";="0.000791";="0.000146";="0.00838";="-0.00112";="0.000929";="0.000172";="0.0136";="-0.00185";="0.00153";="0.000287"
="";="(0.19)";="(-0.19)";="(0.19)";="(0.19)";="(0.19)";="(-0.19)";="(0.19)";="(0.18)";="(0.21)";="(-0.21)";="(0.21)";="(0.21)";="(0.34)";="(-0.34)";="(0.34)";="(0.33)"
="ExtDebtPercGNI_Var";="-0.00740";="0.000988";="-0.000818";="-0.000151";="-0.00750";="0.00100";="-0.000830";="-0.000153";="-0.00743";="0.000994";="-0.000824";="-0.000152";="-0.00726";="0.000987";="-0.000816";="-0.000153"
="";="(-1.12)";="(1.04)";="(-1.08)";="(-0.87)";="(-1.18)";="(1.09)";="(-1.13)";="(-0.91)";="(-1.16)";="(1.08)";="(-1.11)";="(-0.90)";="(-1.13)";="(1.06)";="(-1.09)";="(-0.89)"
="BudgetBal_NGDP_Var";="0.0000990";="-0.0000132";="0.0000109";="0.00000202";="0.0000990";="-0.0000132";="0.0000109";="0.00000202";="0.0000989";="-0.0000132";="0.0000110";="0.00000203";="0.0000946";="-0.0000129";="0.0000106";="0.00000199"
="";="(0.79)";="(-0.78)";="(0.80)";="(0.67)";="(0.79)";="(-0.78)";="(0.80)";="(0.67)";="(0.79)";="(-0.78)";="(0.80)";="(0.67)";="(0.76)";="(-0.74)";="(0.76)";="(0.65)"
="PCPIPCH";="0.00640";="-0.000855";="0.000708";="0.000131";="0.00675";="-0.000901";="0.000747";="0.000138";="0.00789";="-0.00106";="0.000875";="0.000162";="0.0127";="-0.00172";="0.00143";="0.000267"
="";="(0.13)";="(-0.13)";="(0.13)";="(0.14)";="(0.14)";="(-0.14)";="(0.14)";="(0.14)";="(0.17)";="(-0.17)";="(0.17)";="(0.17)";="(0.27)";="(-0.27)";="(0.27)";="(0.27)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0675";="-0.00938";="0.00773";="0.00147";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(0.18)";="(-0.17)";="(0.17)";="(0.17)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.0217";="-0.00294";="0.00243";="0.000452";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.05)";="(-0.05)";="(0.05)";="(0.05)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.0529";="0.00688";="-0.00572";="-0.00104";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.15)";="(0.15)";="(-0.15)";="(-0.15)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.350";="0.0403";="-0.0340";="-0.00567"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.80)";="(0.89)";="(-0.90)";="(-0.79)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.500***";="";="";="";="1.497***";="";="";="";="1.494***";="";="";="";="1.463***";="";="";=""
="";="(4.16)";="";="";="";="(4.18)";="";="";="";="(4.23)";="";="";="";="(4.12)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.421***";="";="";="";="2.419***";="";="";="";="2.416***";="";="";="";="2.393***";="";="";=""
="";="(5.90)";="";="";="";="(5.94)";="";="";="";="(6.02)";="";="";="";="(6.00)";="";="";=""

="cut3";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.231***";="";="";="";="3.229***";="";="";="";="3.227***";="";="";="";="3.215***";="";="";=""
="";="(6.16)";="";="";="";="(6.21)";="";="";="";="(6.24)";="";="";="";="(6.25)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.056***";="";="";="";="1.059***";="";="";="";="1.068***";="";="";="";="1.139***";="";="";=""
="";="(2.97)";="";="";="";="(2.97)";="";="";="";="(2.95)";="";="";="";="(2.74)";="";="";=""

="Observations";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555";="555"
