="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="sigma2_u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0062648";="-.0134946";="-.0094372";="-.0096473";=".0055433";="0";=".0356159";="";="";="";="";="";="";="1.397139";="2.321579";="3.127214";="1.064042"
="t";="-.8258587";="-.3240317";="-1.284182";="-1.420316";=".1179964";=".";=".0948228";="";="";="";="";="";="";="3.958886";="5.718998";="6.051102";="2.9444"
="p";=".4088843";=".745914";=".1990784";=".1555156";=".9060705";=".";=".9244556";="";="";="";="";="";="";=".0000753";="1.07e-08";="1.44e-09";=".0032358"
="grossdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000843";=".0018159";=".0012699";=".0012982";="-.0007459";="0";="-.0048982";="";="";="";="";="";="";="";="";="";=""
="t";=".8066857";=".3209354";="1.174303";="1.285147";="-.1184029";=".";="-.0927998";="";="";="";="";="";="";="";="";="";=""
="p";=".4198476";=".7482593";=".2402737";=".1987411";=".9057484";=".";=".9260626";="";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000698";="-.0015036";="-.0010515";="-.0010749";=".0006177";="0";=".0040442";="";="";="";="";="";="";="";="";="";=""
="t";="-.8090563";="-.321983";="-1.227689";="-1.322786";=".1180977";=".";=".0928661";="";="";="";="";="";="";="";="";="";=""
="p";=".4184827";=".7474656";=".2195636";=".1859067";=".9059903";=".";=".92601";="";="";="";="";="";="";="";="";="";=""
