
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00626";="0.000843";="-0.000698";="-0.000129";="-0.00632";="0.000851";="-0.000705";="-0.000131";="-0.00646";="0.000873";="-0.000722";="-0.000134";="-0.00667";="0.000917";="-0.000756";="-0.000143"
="";="(-0.83)";="(0.81)";="(-0.81)";="(-0.74)";="(-0.82)";="(0.80)";="(-0.81)";="(-0.73)";="(-0.86)";="(0.84)";="(-0.84)";="(-0.76)";="(-0.91)";="(0.89)";="(-0.89)";="(-0.78)"
="NGDP_RPCH";="-0.0135";="0.00182";="-0.00150";="-0.000278";="-0.0134";="0.00181";="-0.00150";="-0.000277";="-0.0122";="0.00165";="-0.00137";="-0.000254";="-0.00937";="0.00129";="-0.00106";="-0.000201"
="";="(-0.32)";="(0.32)";="(-0.32)";="(-0.32)";="(-0.32)";="(0.32)";="(-0.32)";="(-0.32)";="(-0.29)";="(0.28)";="(-0.28)";="(-0.28)";="(-0.22)";="(0.22)";="(-0.22)";="(-0.22)"
="ExtDebtPercGNI_Var";="-0.00944";="0.00127";="-0.00105";="-0.000195";="-0.00949";="0.00128";="-0.00106";="-0.000196";="-0.00940";="0.00127";="-0.00105";="-0.000195";="-0.00927";="0.00127";="-0.00105";="-0.000198"
="";="(-1.28)";="(1.17)";="(-1.23)";="(-0.93)";="(-1.35)";="(1.22)";="(-1.28)";="(-0.97)";="(-1.32)";="(1.20)";="(-1.26)";="(-0.96)";="(-1.31)";="(1.21)";="(-1.26)";="(-0.96)"
="GGXWDG_NGDP_Var";="-0.00965";="0.00130";="-0.00107";="-0.000199";="-0.00970";="0.00131";="-0.00108";="-0.000200";="-0.00991";="0.00134";="-0.00111";="-0.000206";="-0.0107*";="0.00147";="-0.00121";="-0.000229"
