="",="foodw_mfstructbal",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggsb_npgdp",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="sigma2_u:_cons"
="structbal_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0048053",=".0094594",="-.0100848",=".00915",="-.0071377",="0",=".0997102",="",="",="",="",="",="",="1.393482",="2.314931",="3.12822",="1.102355"
="t",="-.5995425",=".2376582",="-1.289211",=".2092568",="-.1216656",=".",=".2771093",="",="",="",="",="",="",="3.457738",="5.176027",="5.632472",="2.733273"
="p",=".5488112",=".8121462",=".1973247",=".8342478",=".9031638",=".",=".7816962",="",="",="",="",="",="",=".0005447",="2.27e-07",="1.78e-08",=".0062708"
="structbal_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0006877",="-.0013537",=".0014432",="-.0013094",=".0010215",="0",="-.0151379",="",="",="",="",="",="",="",="",="",=""
="t",=".5904943",="-.2393864",="1.169345",="-.206185",=".1214655",=".",="-.2614451",="",="",="",="",="",="",="",="",="",=""
="p",=".5548593",=".8108059",=".2422647",=".8366464",=".9033223",=".",=".7937493",="",="",="",="",="",="",="",="",="",=""
="structbal_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.000565",=".0011123",="-.0011858",=".0010759",="-.0008393",="0",=".0123299",="",="",="",="",="",="",="",="",="",=""
="t",="-.5914929",=".2392309",="-1.223506",=".2067877",="-.1217659",=".",=".2621163",="",="",="",="",="",="",="",="",="",=""
="p",=".5541902",=".8109265",=".2211387",=".8361757",=".9030844",=".",=".7932318",="",="",="",="",="",="",="",="",="",=""
="structbal_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0001093",=".0002151",="-.0002294",=".0002081",="-.0001623",="0",=".0024911",="",="",="",="",="",="",="",="",="",=""
="t",="-.5613362",=".2357619",="-.9287736",=".2029",="-.1204441",=".",=".2583296",="",="",="",="",="",="",="",="",="",=""
="p",=".5745683",=".8136174",=".3530064",=".8392132",=".9041314",=".",=".7961526",="",="",="",="",="",="",="",="",="",=""
="structbal_OP_2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0048328",=".0095379",="-.0102851",=".0087702",="-.0065186",="",="",="0",=".0508944",="",="",="",="",="1.392489",="2.313758",="3.126997",="1.10429"
="t",="-.5976791",=".2369662",="-1.363479",=".1985992",="-.1098381",="",="",=".",=".1248257",="",="",="",="",="3.45405",="5.177275",="5.661459",="2.73346"
="p",=".5500541",=".812683",=".1727316",=".8425763",=".9125378",="",="",=".",=".9006616",="",="",="",="",=".0005522",="2.25e-07",="1.50e-08",=".0062673"
="structbal_ME0_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0006921",="-.0013659",=".0014729",="-.0012559",=".0009335",="",="",="0",="-.0075031",="",="",="",="",="",="",="",=""
="t",=".5884655",="-.2384993",="1.227956",="-.1958715",=".1096997",="",="",=".",="-.1213795",="",="",="",="",="",="",="",=""
="p",=".5562199",=".8114938",=".2194636",=".8447107",=".9126475",="",="",=".",=".9033904",="",="",="",="",="",="",="",=""
="structbal_ME1_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0005685",=".0011221",="-.00121",=".0010317",="-.0007669",="",="",="0",=".0061379",="",="",="",="",="",="",="",=""
="t",="-.5896291",=".2383877",="-1.286316",=".1964417",="-.1099433",="",="",=".",=".1216397",="",="",="",="",="",="",="",=""
="p",=".5554394",=".8115804",=".1983329",=".8442645",=".9124543",="",="",=".",=".9031843",="",="",="",="",="",="",="",=""
="structbal_ME2_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0001101",=".0002172",="-.0002343",=".0001998",="-.0001485",="",="",="0",=".0012138",="",="",="",="",="",="",="",=""
="t",="-.5580861",=".2345934",="-.9673113",=".1928104",="-.1089064",="",="",=".",=".12069",="",="",="",="",="",="",="",=""
="p",=".5767856",=".8145243",=".3333885",=".8471074",=".9132767",="",="",=".",=".9039366",="",="",="",="",="",="",="",=""
="structbal_OP_5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0049883",=".010726",="-.0101901",=".0089949",="-.0047127",="",="",="",="",="0",="-.0394345",="",="",="1.387481",="2.30903",="3.123443",="1.111086"
="t",="-.6308205",=".2615467",="-1.32948",=".2022364",="-.0789806",="",="",="",="",=".",="-.1054749",="",="",="3.474625",="5.227472",="5.688711",="2.73164"
="p",=".5281579",=".7936709",=".1836897",=".8397319",=".937048",="",="",="",="",=".",=".915999",="",="",=".0005116",="1.72e-07",="1.28e-08",=".006302"
="structbal_ME0_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0007173",="-.0015423",=".0014652",="-.0012934",=".0006776",="",="",="",="",="0",=".0055552",="",="",="",="",="",=""
="t",=".6204359",="-.2627399",="1.211384",="-.1993129",=".0789608",="",="",="",="",=".",=".1072553",="",="",="",="",="",=""
="p",=".5349709",=".792751",=".2257484",=".842018",=".9370638",="",="",="",="",=".",=".9145864",="",="",="",="",="",=""
="structbal_ME1_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0005889",=".0012663",="-.0012031",=".001062",="-.0005564",="",="",="",="",="0",="-.0045744",="",="",="",="",="",=""
="t",="-.6219881",=".2627976",="-1.26673",=".1999463",="-.0790675",="",="",="",="",=".",="-.1072097",="",="",="",="",="",=""
="p",=".5339497",=".7927065",=".2052517",=".8415226",=".9369789",="",="",="",="",=".",=".9146227",="",="",="",="",="",=""
="structbal_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0001144",=".0002459",="-.0002336",=".0002062",="-.000108",="",="",="",="",="0",="-.0008752",="",="",="",="",="",=""
="t",="-.5847111",=".2568601",="-.9603021",=".1959124",="-.0786811",="",="",="",="",=".",="-.1067633",="",="",="",="",="",=""
="p",=".558742",=".7972868",=".3369032",=".8446787",=".9372863",="",="",="",="",=".",=".9149768",="",="",="",="",="",=""
="structbal_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0051673",=".0156831",="-.0099551",=".0106737",=".0036508",="",="",="",="",="",="",="0",="-.3739508",="1.345666",="2.275305",="3.101522",="1.174487"
="t",="-.6802944",=".3794476",="-1.311862",=".2421562",=".0627933",="",="",="",="",="",="",=".",="-.8345846",="3.345669",="5.171775",="5.67575",="2.536435"
="p",=".4963181",=".7043555",=".1895666",=".8086592",=".9499311",="",="",="",="",="",="",=".",=".4039516",=".0008208",="2.32e-07",="1.38e-08",=".0111988"
="structbal_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0007636",="-.0023174",=".001471",="-.0015772",="-.0005395",="",="",="",="",="",="",="0",=".0466017",="",="",="",=""
="t",=".6663753",="-.3793538",="1.208077",="-.2381195",="-.0627731",="",="",="",="",="",="",=".",=".9162058",="",="",="",=""
="p",=".5051713",=".7044252",=".2270177",=".8117884",=".9499472",="",="",="",="",="",="",=".",=".359559",="",="",="",=""
="structbal_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.000624",=".0018937",="-.0012021",=".0012888",=".0004408",="",="",="",="",="",="",="0",="-.0389904",="",="",="",=""
="t",="-.6704256",=".38054",="-1.262668",=".2391299",=".0627174",="",="",="",="",="",="",=".",="-.9278042",="",="",="",=""
="p",=".5025865",=".7035446",=".2067086",=".8110049",=".9499916",="",="",="",="",="",="",=".",=".3535092",="",="",="",=""
="structbal_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0001244",=".0003775",="-.0002396",=".0002569",=".0000879",="",="",="",="",="",="",="0",="-.0068608",="",="",="",=""
="t",="-.6165835",=".3620535",="-.9582247",=".2327624",=".0628364",="",="",="",="",="",="",=".",="-.7898365",="",="",="",=""
="p",=".5375095",=".717312",=".3379495",=".8159459",=".9498968",="",="",="",="",="",="",=".",=".4296233",="",="",="",=""
=""
